#,Name,Team,MonthSeason,MonthYear
207,Cooper Criswell,TBR,7,9/1/2022
208,Matt Brash,SEA,7,9/1/2022
209,Dauri Moreta,CIN,7,9/1/2022
210,Ron Marinaccio,NYY,7,9/1/2022
211,Hoby Milner,MIL,7,9/1/2022
212,Wandy Peralta,NYY,7,9/1/2022
213,Anibal Sanchez,WSN,7,9/1/2022
214,Eduard Bazardo,BOS,7,9/1/2022
215,Matt Manning,DET,7,9/1/2022
216,Jackson Stephens,ATL,7,9/1/2022
217,Jaime Barria,LAA,7,9/1/2022
218,Yohan Ramirez,PIT,7,9/1/2022
219,Brady Singer,KCR,7,9/1/2022
220,Konnor Pilkington,CLE,7,9/1/2022
221,Austin Pruitt,OAK,7,9/1/2022
222,Martin Perez,TEX,7,9/1/2022
223,Cal Quantrill,CLE,7,9/1/2022
224,Carlos Estevez,COL,7,9/1/2022
225,Hunter Strickland,CIN,7,9/1/2022
226,Griffin Jax,MIN,7,9/1/2022
227,Sandy Alcantara,MIA,7,9/1/2022
228,Logan Webb,SFG,7,9/1/2022
229,Mark Melancon,ARI,7,9/1/2022
230,Kody Clemens,DET,7,9/1/2022
231,Jordan Weems,WSN,7,9/1/2022
232,Phil Bickford,LAD,7,9/1/2022
233,Joe Kelly,CHW,7,9/1/2022
234,Steven Wilson,SDP,7,9/1/2022
235,Nick Sandlin,CLE,7,9/1/2022
236,Aaron Loup,LAA,7,9/1/2022
237,Amir Garrett,KCR,7,9/1/2022
238,Kyle Freeland,COL,7,9/1/2022
239,Anthony Misiewicz,KCR,7,9/1/2022
240,Jesus Luzardo,MIA,7,9/1/2022
241,Michael Kopech,CHW,7,9/1/2022
242,Calvin Faucher,TBR,7,9/1/2022
243,Jeff Brigham,MIA,7,9/1/2022
244,Huascar Brazoban,MIA,7,9/1/2022
245,Mark Leiter,CHC,7,9/1/2022
246,Aroldis Chapman,NYY,7,9/1/2022
247,Cole Waites,SFG,7,9/1/2022
248,Caleb Ferguson,LAD,7,9/1/2022
249,Caleb Smith,ARI,7,9/1/2022
250,Dean Kremer,BAL,7,9/1/2022
251,Daniel Norris,DET,7,9/1/2022
252,Shawn Armstrong,TBR,7,9/1/2022
253,Johan Oviedo,PIT,7,9/1/2022
254,Ross Stripling,TOR,7,9/1/2022
255,JT Chargois,TBR,7,9/1/2022
256,Braxton Garrett,MIA,7,9/1/2022
257,Aaron Civale,CLE,7,9/1/2022
258,Aaron Ashby,MIL,7,9/1/2022
259,Will Smith,HOU,7,9/1/2022
260,Dylan Coleman,KCR,7,9/1/2022
261,Corbin Burnes,MIL,7,9/1/2022
262,Sonny Gray,MIN,7,9/1/2022
263,Kyle Bradish,BAL,7,9/1/2022
264,Drew Rasmussen,TBR,7,9/1/2022
265,Adbert Alzolay,CHC,7,9/1/2022
266,Bailey Falter,PHI,7,9/1/2022
267,James Karinchak,CLE,7,9/1/2022
268,Zack Weiss,LAA,7,9/1/2022
269,Buck Farmer,CIN,7,9/1/2022
270,Joe Mantiply,ARI,7,9/1/2022
271,Lucas Giolito,CHW,7,9/1/2022
272,Luis Castillo,SEA,7,9/1/2022
273,Paul Sewald,SEA,7,9/1/2022
274,Alex Cobb,SFG,7,9/1/2022
275,Wade Miley,CHC,7,9/1/2022
276,Jose Urena,COL,7,9/1/2022
277,Jordan Hicks,STL,7,9/1/2022
278,Clarke Schmidt,NYY,7,9/1/2022
279,Luis Garcia,SDP,7,9/1/2022
280,Clay Holmes,NYY,7,9/1/2022
281,Hanser Alberto,LAD,7,9/1/2022
282,Simeon Woods Richardson,MIN,7,9/1/2022
283,Jose Suarez,LAA,7,9/1/2022
284,Brad Boxberger,MIL,7,9/1/2022
285,Jason Adam,TBR,7,9/1/2022
286,Giovanny Gallegos,STL,7,9/1/2022
287,DL Hall,BAL,7,9/1/2022
288,Framber Valdez,HOU,7,9/1/2022
289,Vince Velasquez,CHW,7,9/1/2022
290,Taijuan Walker,NYM,7,9/1/2022
291,Luis Cessa,CIN,7,9/1/2022
292,Robert Stephenson,PIT,7,9/1/2022
293,Jameson Taillon,NYY,7,9/1/2022
294,Adrian Houser,MIL,7,9/1/2022
295,Cole Sands,MIN,7,9/1/2022
296,Freddy Peralta,MIL,7,9/1/2022
297,Noah Syndergaard,PHI,7,9/1/2022
298,Brandon Hughes,CHC,7,9/1/2022
299,Tim Mayza,TOR,7,9/1/2022
300,Yunior Marte,SFG,7,9/1/2022
301,Chris Bassitt,NYM,7,9/1/2022
302,Mason Thompson,WSN,7,9/1/2022
303,Louie Varland,MIN,7,9/1/2022
304,Jack Flaherty,STL,7,9/1/2022
305,Austin Voth,BAL,7,9/1/2022
306,David Robertson,PHI,7,9/1/2022
307,Casey Lawrence,TOR,7,9/1/2022
308,Kyle Muller,ATL,7,9/1/2022
309,Cristofer Ogando,TBR,7,9/1/2022
310,Dominic Leone,SFG,7,9/1/2022
311,Tanner Scott,MIA,7,9/1/2022
312,Erich Uelmen,CHC,7,9/1/2022
313,Jeremiah Estrada,CHC,7,9/1/2022
314,Reiver Sanmartin,CIN,7,9/1/2022
315,Edward Cabrera,MIA,7,9/1/2022
316,Brad Keller,KCR,7,9/1/2022
317,Brock Burke,TEX,7,9/1/2022
318,Kaleb Ort,BOS,7,9/1/2022
319,Richard Bleier,MIA,7,9/1/2022
320,Enyel De Los Santos,CLE,7,9/1/2022
321,Michael Fulmer,MIN,7,9/1/2022
322,Manuel Rodriguez,CHC,7,9/1/2022
323,Bryse Wilson,PIT,7,9/1/2022
324,Bryan Garcia,DET,7,9/1/2022
325,Jalen Beeks,TBR,7,9/1/2022
326,Andrew Wantz,LAA,7,9/1/2022
327,Yusei Kikuchi,TOR,7,9/1/2022
328,Trevor Stephan,CLE,7,9/1/2022
329,Javier Assad,CHC,7,9/1/2022
330,Matt Bush,MIL,7,9/1/2022
331,Reyes Moronta,ARI,7,9/1/2022
332,Penn Murfee,SEA,7,9/1/2022
333,Rich Hill,BOS,7,9/1/2022
334,Matt Strahm,BOS,7,9/1/2022
335,Chase Anderson,CIN,7,9/1/2022
336,Domingo Acevedo,OAK,7,9/1/2022
337,Kevin Gausman,TOR,7,9/1/2022
338,Domingo German,NYY,7,9/1/2022
339,Carlos Carrasco,NYM,7,9/1/2022
340,Pablo Lopez,MIA,7,9/1/2022
341,Glenn Otto,TEX,7,9/1/2022
342,George Kirby,SEA,7,9/1/2022
343,Garrett Hill,DET,7,9/1/2022
344,Jesse Chavez,ATL,7,9/1/2022
345,Eric Lauer,MIL,7,9/1/2022
346,Robbie Ray,SEA,7,9/1/2022
347,Tommy Nance,MIA,7,9/1/2022
348,Roansy Contreras,PIT,7,9/1/2022
349,Luke Weaver,KCR,7,9/1/2022
350,Jordan Montgomery,STL,7,9/1/2022
351,Jimmy Lambert,CHW,7,9/1/2022
352,Jonathan Hernandez,TEX,7,9/1/2022
353,Wil Myers,SDP,7,9/1/2022
354,Jacob deGrom,NYM,7,9/1/2022
355,Miguel Castro,NYY,7,9/1/2022
356,Tony Gonsolin,LAD,7,9/1/2022
357,Brandon Bielak,HOU,7,9/1/2022
358,Michael Plassmeyer,PHI,7,9/1/2022
359,Michael Grove,LAD,7,9/1/2022
360,Gerrit Cole,NYY,7,9/1/2022
361,Jon Gray,TEX,7,9/1/2022
362,Trevor Williams,NYM,7,9/1/2022
363,Luis Ortiz,PIT,7,9/1/2022
364,Connor Brogdon,PHI,7,9/1/2022
365,Justin Bruihl,LAD,7,9/1/2022
366,Dennis Santana,TEX,7,9/1/2022
367,Nick Vespi,BAL,7,9/1/2022
368,Taylor Clarke,KCR,7,9/1/2022
369,Ranger Suarez,PHI,7,9/1/2022
370,Eduardo Rodriguez,DET,7,9/1/2022
371,Dakota Hudson,STL,7,9/1/2022
372,Dillon Tate,BAL,7,9/1/2022
373,Zack Kelly,BOS,7,9/1/2022
374,Ian Gibaut,CIN,7,9/1/2022
375,Collin Wiles,OAK,7,9/1/2022
376,Drew Smyly,CHC,7,9/1/2022
377,Johnny Cueto,CHW,7,9/1/2022
378,Trevor Gott,MIL,7,9/1/2022
379,Marco Gonzales,SEA,7,9/1/2022
380,Trevor Rogers,MIA,7,9/1/2022
381,Sean Hjelle,SFG,7,9/1/2022
382,Tyler Matzek,ATL,7,9/1/2022
383,Nabil Crismatt,SDP,7,9/1/2022
384,Jose Berrios,TOR,7,9/1/2022
385,Mike Baumann,BAL,7,9/1/2022
386,Andrew Heaney,LAD,7,9/1/2022
387,Merrill Kelly,ARI,7,9/1/2022
388,Madison Bumgarner,ARI,7,9/1/2022
389,Tyler Alexander,DET,7,9/1/2022
390,Corey Kluber,TBR,7,9/1/2022
391,Taylor Hearn,TEX,7,9/1/2022
392,Hector Neris,HOU,7,9/1/2022
393,Derek Law,CIN,7,9/1/2022
394,Justin Topa,MIL,7,9/1/2022
395,Ken Waldichuk,OAK,7,9/1/2022
396,Chase De Jong,PIT,7,9/1/2022
397,Reid Detmers,LAA,7,9/1/2022
398,Brooks Raley,TBR,7,9/1/2022
399,Patrick Corbin,WSN,7,9/1/2022
400,Aaron Sanchez,MIN,7,9/1/2022
401,Erik Swanson,SEA,7,9/1/2022
402,Kirby Snead,OAK,7,9/1/2022
403,Diego Castillo,SEA,7,9/1/2022
404,Will Vest,DET,7,9/1/2022
405,Carlos Hernandez,KCR,7,9/1/2022
406,Chris Archer,MIN,7,9/1/2022
407,German Marquez,COL,7,9/1/2022
408,Frankie Montas,NYY,7,9/1/2022
409,Brent Suter,MIL,7,9/1/2022
410,Greg Weissert,NYY,7,9/1/2022
411,Davis Martin,CHW,7,9/1/2022
412,Zach Davies,ARI,7,9/1/2022
413,Josh Fleming,TBR,7,9/1/2022
414,Joel Payamps,OAK,7,9/1/2022
415,Shane McClanahan,TBR,7,9/1/2022
416,Sean Manaea,SDP,7,9/1/2022
417,Kyle Wright,ATL,7,9/1/2022
418,Keegan Akin,BAL,7,9/1/2022
419,Kyle Finnegan,WSN,7,9/1/2022
420,Austin Gomber,COL,7,9/1/2022
421,Nick Pivetta,BOS,7,9/1/2022
422,Jose Urquidy,HOU,7,9/1/2022
423,Jose Ruiz,CHW,7,9/1/2022
424,Brusdar Graterol,LAD,7,9/1/2022
425,Jordan Lyles,BAL,7,9/1/2022
426,Seth Lugo,NYM,7,9/1/2022
427,Cole Ragans,TEX,7,9/1/2022
428,Connor Overton,CIN,7,9/1/2022
429,Jon Heasley,KCR,7,9/1/2022
430,Charlie Morton,ATL,7,9/1/2022
431,Luis Perdomo,MIL,7,9/1/2022
432,John Brebbia,SFG,7,9/1/2022
433,Pierce Johnson,SDP,7,9/1/2022
434,Jake Fishman,MIA,7,9/1/2022
435,Jose Quijada,LAA,7,9/1/2022
436,Sam Moll,OAK,7,9/1/2022
437,Garrett Stubbs,PHI,7,9/1/2022
438,Jakob Junis,SFG,7,9/1/2022
439,Zach Thompson,PIT,7,9/1/2022
440,A.J. Puk,OAK,7,9/1/2022
441,Nick Martinez,SDP,7,9/1/2022
442,Yimi Garcia,TOR,7,9/1/2022
443,Norge Ruiz,OAK,7,9/1/2022
444,Dinelson Lamet,COL,7,9/1/2022
445,Michael Wacha,BOS,7,9/1/2022
446,Chad Smith,COL,7,9/1/2022
447,Jared Koenig,OAK,7,9/1/2022
448,Jake Bird,COL,7,9/1/2022
449,Cory Abbott,WSN,7,9/1/2022
450,Duane Underwood Jr.,PIT,7,9/1/2022
451,Matthew Festa,SEA,7,9/1/2022
452,JoJo Romero,STL,7,9/1/2022
453,Drew Hutchison,DET,7,9/1/2022
454,Kendall Graveman,CHW,7,9/1/2022
455,Andre Pallante,STL,7,9/1/2022
456,Ryan Feltner,COL,7,9/1/2022
457,Luke Farrell,- - -,7,9/1/2022
458,Tylor Megill,NYM,7,9/1/2022
459,Manny Banuelos,PIT,7,9/1/2022
460,Rob Zastryzny,LAA,7,9/1/2022
461,Kris Bubic,KCR,7,9/1/2022
462,Jorge Lopez,MIN,7,9/1/2022
463,Xzavion Curry,CLE,7,9/1/2022
464,Nick Nelson,PHI,7,9/1/2022
465,Cole Sulser,MIA,7,9/1/2022
466,Jake Reed,BAL,7,9/1/2022
467,Luis Frias,ARI,7,9/1/2022
468,JP Sears,OAK,7,9/1/2022
469,Dylan Bundy,MIN,7,9/1/2022
470,Josh Winckowski,BOS,7,9/1/2022
471,Jake Odorizzi,ATL,7,9/1/2022
472,Shelby Miller,SFG,7,9/1/2022
473,Tommy Henry,ARI,7,9/1/2022
474,Mike Clevinger,SDP,7,9/1/2022
475,Dane Dunning,TEX,7,9/1/2022
476,Cristopher Sanchez,PHI,7,9/1/2022
477,Tim Hill,SDP,7,9/1/2022
478,Mike Minor,CIN,7,9/1/2022
479,Dustin May,LAD,7,9/1/2022
480,Josh Winder,MIN,7,9/1/2022
481,Daniel Lynch,KCR,7,9/1/2022
482,Elieser Hernandez,MIA,7,9/1/2022
483,Josiah Gray,WSN,7,9/1/2022
484,Cole Irvin,OAK,7,9/1/2022
485,Carson Kelly,ARI,7,9/1/2022
486,Jharel Cotton,SFG,7,9/1/2022
487,Trevor Kelley,MIL,7,9/1/2022
488,Joe Jimenez,DET,7,9/1/2022
489,Steven Okert,MIA,7,9/1/2022
490,Paolo Espino,WSN,7,9/1/2022
491,JT Brubaker,PIT,7,9/1/2022
492,Jarlin Garcia,SFG,7,9/1/2022
493,Bryan Shaw,CLE,7,9/1/2022
494,Taylor Rogers,MIL,7,9/1/2022
495,Collin Snider,KCR,7,9/1/2022
496,Spenser Watkins,BAL,7,9/1/2022
497,Felix Bautista,BAL,7,9/1/2022
498,Garrett Whitlock,BOS,7,9/1/2022
499,Adrian Morejon,SDP,7,9/1/2022
500,Adam Wainwright,STL,7,9/1/2022
501,Adrian Martinez,OAK,7,9/1/2022
502,Jason Alexander,MIL,7,9/1/2022
503,Miguel Yajure,PIT,7,9/1/2022
504,Mike Mayers,LAA,7,9/1/2022
505,David Peterson,NYM,7,9/1/2022
506,Sam Selman,OAK,7,9/1/2022
507,Andrew Nardi,MIA,7,9/1/2022
508,Sean Newcomb,CHC,7,9/1/2022
509,Tyler Beede,PIT,7,9/1/2022
510,Bruce Zimmermann,BAL,7,9/1/2022
511,Julian Merryweather,TOR,7,9/1/2022
512,Kevin Herget,TBR,7,9/1/2022
513,Raynel Espinal,CIN,7,9/1/2022
514,Gavin Hollowell,COL,7,9/1/2022
515,Chad Kuhl,COL,7,9/1/2022
516,Erick Fedde,WSN,7,9/1/2022
517,Jake Diekman,CHW,7,9/1/2022
518,Justin Lawrence,COL,7,9/1/2022
519,Tyler Wells,BAL,7,9/1/2022
520,Silvino Bracho,ATL,7,9/1/2022
521,Joey Krehbiel,BAL,7,9/1/2022
522,Sean Poppen,ARI,7,9/1/2022
523,Tyson Miller,TEX,7,9/1/2022
524,Brad Hand,PHI,7,9/1/2022
525,Colin Poche,TBR,7,9/1/2022
526,Mitch White,TOR,7,9/1/2022
527,Craig Stammen,SDP,7,9/1/2022
528,Tucker Davidson,LAA,7,9/1/2022
529,Trevor Richards,TOR,7,9/1/2022
530,Christian Bethancourt,TBR,7,9/1/2022
531,Tyler Danish,BOS,7,9/1/2022
532,Dusten Knight,TBR,7,9/1/2022
533,Justus Sheffield,SEA,7,9/1/2022
534,Luis Gonzalez,SFG,7,9/1/2022
535,Alejo Lopez,CIN,7,9/1/2022
536,Matthew Liberatore,STL,7,9/1/2022
537,Brett Martin,TEX,7,9/1/2022
538,Eric Stout,PIT,7,9/1/2022
539,Zack Littell,SFG,7,9/1/2022
540,Heath Hembree,LAD,7,9/1/2022
541,Kyle Gibson,PHI,7,9/1/2022
542,Jeurys Familia,BOS,7,9/1/2022
543,Joe Barlow,TEX,7,9/1/2022
544,Jason Foley,DET,7,9/1/2022
545,Daniel Mengden,KCR,7,9/1/2022
546,Kyle Nelson,ARI,7,9/1/2022
547,Connor Seabold,BOS,7,9/1/2022
548,Joel Kuhnel,CIN,7,9/1/2022
549,Justin Dunn,CIN,7,9/1/2022
550,Bryan Hoeing,MIA,7,9/1/2022
551,Wil Crowe,PIT,7,9/1/2022
552,Bryce Montes de Oca,NYM,7,9/1/2022
553,Trevor Megill,MIN,7,9/1/2022
554,Michael Pineda,DET,7,9/1/2022
555,Chris Devenski,PHI,7,9/1/2022
556,Seranthony Dominguez,PHI,7,9/1/2022
557,Jose Marte,LAA,7,9/1/2022
558,Max Castillo,KCR,7,9/1/2022
559,Graham Ashcraft,CIN,7,9/1/2022
560,Keynan Middleton,ARI,7,9/1/2022
561,Jake McGee,WSN,7,9/1/2022
562,Adam Oller,OAK,7,9/1/2022
563,Dallas Keuchel,TEX,7,9/1/2022
564,Ryan McKenna,BAL,7,9/1/2022
565,Domingo Tapia,OAK,7,9/1/2022
566,Zack Britton,NYY,7,9/1/2022
567,Elvin Rodriguez,DET,7,9/1/2022
568,Tommy Romero,WSN,7,9/1/2022
569,Sam Coonrod,PHI,7,9/1/2022
570,James Naile,STL,7,9/1/2022
571,Hunter Gaddis,CLE,7,9/1/2022
572,Austin Davis,MIN,7,9/1/2022
573,Art Warren,CIN,7,9/1/2022
574,Ian Kennedy,ARI,7,9/1/2022
575,Luis Patino,TBR,7,9/1/2022
576,Jimmy Yacabonis,TBR,7,9/1/2022
577,Tyler Mahle,MIN,7,9/1/2022
578,Frank German,BOS,7,9/1/2022
579,Noah Davis,COL,7,9/1/2022
580,Yennier Cano,BAL,7,9/1/2022
581,Alex Colome,COL,7,9/1/2022
582,Zach Logue,OAK,7,9/1/2022
583,A.J. Alexy,TEX,7,9/1/2022
584,Kohei Arihara,TEX,7,9/1/2022
585,Reiss Knehr,SDP,7,9/1/2022
586,Anthony Banda,NYY,7,9/1/2022
587,Nick Gordon,MIN,7,9/1/2022
588,Adonis Medina,NYM,7,9/1/2022
