Name,Team,MonthSeason,MonthYear,New team
Marwin Gonzalez,NYY,7,9/1/2022,No
Mason Thompson,WSN,7,9/1/2022,No
Matt Barnes,BOS,7,9/1/2022,No
Matt Batten,SDP,6,8/1/2022,No
Matt Brash,SEA,7,9/1/2022,No
Matt Dermody,CHC,6,8/1/2022,No
Matt Foster,CHW,7,9/1/2022,No
Matt Gage,TOR,5,7/1/2022,No
Matt Koch,SEA,2,4/1/2022,No
Matt Manning,DET,7,9/1/2022,No
Matt Moore,TEX,7,9/1/2022,No
Matt Reynolds,CIN,3,5/1/2022,No
Matt Strahm,BOS,7,9/1/2022,No
Matt Swarmer,CHC,5,7/1/2022,No
Matt Wisler,TBR,7,9/1/2022,No
Matthew Boyd,SEA,7,9/1/2022,No
Matthew Festa,SEA,7,9/1/2022,No
Matthew Liberatore,STL,7,9/1/2022,No
Mauricio Llovera,SFG,5,7/1/2022,No
Max Fried,ATL,7,9/1/2022,No
Max Kranick,PIT,3,5/1/2022,No
Max Meyer,MIA,5,7/1/2022,No
Max Scherzer,NYM,7,9/1/2022,No
Max Schrock,CIN,4,6/1/2022,No
Merrill Kelly,ARI,7,9/1/2022,No
Michael A. Taylor,KCR,5,7/1/2022,No
Michael Feliz,BOS,5,7/1/2022,No
Michael Grove,LAD,7,9/1/2022,No
Michael Kelly,PHI,5,7/1/2022,No
Michael King,NYY,5,7/1/2022,No
Michael Kopech,CHW,7,9/1/2022,No
Michael Lorenzen,LAA,7,9/1/2022,No
Michael Pineda,DET,7,9/1/2022,No
Michael Plassmeyer,PHI,7,9/1/2022,No
Michael Rucker,CHC,7,9/1/2022,No
Michael Wacha,BOS,7,9/1/2022,No
Michel Baez,SDP,6,8/1/2022,No
Miguel Castro,NYY,7,9/1/2022,No
Miguel Diaz,DET,7,9/1/2022,No
Miguel Sanchez,MIL,4,6/1/2022,No
Miguel Yajure,PIT,7,9/1/2022,No
Mike Baumann,BAL,7,9/1/2022,No
Mike Brosseau,MIL,5,7/1/2022,No
Mike Clevinger,SDP,7,9/1/2022,No
Mike Ford,ATL,4,6/1/2022,No
Mike Mayers,LAA,7,9/1/2022,No
Mike Minor,CIN,7,9/1/2022,No
Miles Mikolas,STL,7,9/1/2022,No
Mitch Keller,PIT,7,9/1/2022,No
Nabil Crismatt,SDP,7,9/1/2022,No
Nash Walters,LAA,7,9/1/2022,No
Nate Fisher,NYM,6,8/1/2022,No
Nathan Eovaldi,BOS,7,9/1/2022,No
Nestor Cortes,NYY,7,9/1/2022,No
Nicholas Padilla,CHC,6,8/1/2022,No
Nick Duron,PHI,5,7/1/2022,No
Nick Gordon,MIN,7,9/1/2022,No
Nick Lodolo,CIN,7,9/1/2022,No
Nick Martinez,SDP,7,9/1/2022,No
Nick Maton,PHI,7,9/1/2022,No
Nick Mears,PIT,7,9/1/2022,No
Nick Neidert,MIA,5,7/1/2022,No
Nick Nelson,PHI,7,9/1/2022,No
Nick Pivetta,BOS,7,9/1/2022,No
Nick Sandlin,CLE,7,9/1/2022,No
Nick Vespi,BAL,7,9/1/2022,No
Nick Wittgren,STL,4,6/1/2022,No
Nicklaus Snyder,TEX,2,4/1/2022,No
Nicky Lopez,KCR,6,8/1/2022,No
Noah Davis,COL,7,9/1/2022,No
Noe Ramirez,ARI,6,8/1/2022,No
Norge Ruiz,OAK,7,9/1/2022,No
Oliver Ortega,LAA,6,8/1/2022,No
Oliver Perez,ARI,2,4/1/2022,No
Orlando Arcia,ATL,7,9/1/2022,No
Pablo Lopez,MIA,7,9/1/2022,No
Pablo Reyes,MIL,6,8/1/2022,No
Packy Naughton,STL,7,9/1/2022,No
Paolo Espino,WSN,7,9/1/2022,No
Parker Markel,OAK,4,6/1/2022,No
Parker Mushinski,HOU,5,7/1/2022,No
Patrick Corbin,WSN,7,9/1/2022,No
Patrick Murphy,WSN,2,4/1/2022,No
Patrick Sandoval,LAA,7,9/1/2022,No
Paul Blackburn,OAK,6,8/1/2022,No
Paul Sewald,SEA,7,9/1/2022,No
Pedro Avila,SDP,2,4/1/2022,No
Pedro Baez,HOU,2,4/1/2022,No
Penn Murfee,SEA,7,9/1/2022,No
Pete Fairbanks,TBR,7,9/1/2022,No
Peter Strzelecki,MIL,7,9/1/2022,No
Phil Bickford,LAD,7,9/1/2022,No
Phil Gosselin,LAA,6,8/1/2022,No
Phil Maton,HOU,7,9/1/2022,No
Phillip Diehl,CIN,3,5/1/2022,No
Phillips Valdez,BOS,5,7/1/2022,No
Phoenix Sanders,TBR,5,7/1/2022,No
Pierce Johnson,SDP,7,9/1/2022,No
R.J. Alvarez,NYM,6,8/1/2022,No
Rafael Montero,HOU,7,9/1/2022,No
Ralph Garza,TBR,6,8/1/2022,No
Randal Grichuk,COL,4,6/1/2022,No
Ranger Suarez,PHI,7,9/1/2022,No
Ray Kerr,SDP,5,7/1/2022,No
Raynel Espinal,CIN,7,9/1/2022,No
Reed Garrett,WSN,7,9/1/2022,No
Reese McGuire,BOS,6,8/1/2022,No
Reid Detmers,LAA,7,9/1/2022,No
Reiss Knehr,SDP,7,9/1/2022,No
Reiver Sanmartin,CIN,7,9/1/2022,No
Reynaldo Lopez,CHW,7,9/1/2022,No
Rich Hill,BOS,7,9/1/2022,No
Richard Bleier,MIA,7,9/1/2022,No
Rico Garcia,BAL,7,9/1/2022,No
Riley O'Brien,SEA,3,5/1/2022,No
Roansy Contreras,PIT,7,9/1/2022,No
Robbie Erlin,LAD,3,5/1/2022,No
Robbie Ray,SEA,7,9/1/2022,No
Robert Gsellman,CHC,3,5/1/2022,No
Robert Suarez,SDP,7,9/1/2022,No
Roenis Elias,SEA,4,6/1/2022,No
Ron Marinaccio,NYY,7,9/1/2022,No
Ronald Bolanos,KCR,4,6/1/2022,No
Ronel Blanco,HOU,2,4/1/2022,No
Ronny Henriquez,MIN,7,9/1/2022,No
Rony Garcia,DET,5,7/1/2022,No
Ross Detwiler,CIN,6,8/1/2022,No
Ross Stripling,TOR,7,9/1/2022,No
Rowan Wick,CHC,7,9/1/2022,No
Ryan Brasier,BOS,7,9/1/2022,No
Ryan Burr,CHW,3,5/1/2022,No
Ryan Castellani,OAK,2,4/1/2022,No
Ryan Feltner,COL,7,9/1/2022,No
Ryan Helsley,STL,7,9/1/2022,No
Ryan Hendrix,CIN,6,8/1/2022,No
Ryan McKenna,BAL,7,9/1/2022,No
Ryan Pepiot,LAD,7,9/1/2022,No
Ryan Pressly,HOU,7,9/1/2022,No
Ryan Tepera,LAA,7,9/1/2022,No
Ryan Thompson,TBR,6,8/1/2022,No
Ryan Weathers,SDP,4,6/1/2022,No
Ryan Weber,NYY,7,9/1/2022,No
Ryan Yarbrough,TBR,7,9/1/2022,No
Ryne Nelson,ARI,7,9/1/2022,No
Ryne Stanek,HOU,7,9/1/2022,No
Sam Coonrod,PHI,7,9/1/2022,No
Sam Hentges,CLE,7,9/1/2022,No
Sam Howard,PIT,2,4/1/2022,No
Sam Moll,OAK,7,9/1/2022,No
Sam Selman,OAK,7,9/1/2022,No
Sammy Long,SFG,6,8/1/2022,No
Sandy Alcantara,MIA,7,9/1/2022,No
Sandy Leon,CLE,5,7/1/2022,No
Scott Alexander,SFG,7,9/1/2022,No
Scott Barlow,KCR,7,9/1/2022,No
Sean Doolittle,WSN,2,4/1/2022,No
Sean Hjelle,SFG,7,9/1/2022,No
Sean Manaea,SDP,7,9/1/2022,No
Sean Poppen,ARI,7,9/1/2022,No
Sean Reid-Foley,NYM,2,4/1/2022,No
Seranthony Dominguez,PHI,7,9/1/2022,No
Seth Lugo,NYM,7,9/1/2022,No
Seth Martinez,HOU,7,9/1/2022,No
Shane Baz,TBR,5,7/1/2022,No
Shane Bieber,CLE,7,9/1/2022,No
Shane McClanahan,TBR,7,9/1/2022,No
Shaun Anderson,TOR,4,6/1/2022,No
Shelby Miller,SFG,7,9/1/2022,No
Sheldon Neuse,OAK,7,9/1/2022,No
Shohei Ohtani,LAA,7,9/1/2022,No
Silvino Bracho,ATL,7,9/1/2022,No
Simeon Woods Richardson,MIN,7,9/1/2022,No
Sonny Gray,MIN,7,9/1/2022,No
Spencer Howard,TEX,6,8/1/2022,No
Spencer Patton,TEX,2,4/1/2022,No
Spencer Strider,ATL,7,9/1/2022,No
Spenser Watkins,BAL,7,9/1/2022,No
Stephen Nogosek,NYM,7,9/1/2022,No
Stephen Strasburg,WSN,4,6/1/2022,No
Steve Cishek,WSN,7,9/1/2022,No
Steven Brault,CHC,6,8/1/2022,No
Steven Matz,STL,7,9/1/2022,No
Steven Okert,MIA,7,9/1/2022,No
Steven Wilson,SDP,7,9/1/2022,No
T.J. McFarland,STL,6,8/1/2022,No
T.J. Zeuch,CIN,6,8/1/2022,No
Taijuan Walker,NYM,7,9/1/2022,No
Tanner Banks,CHW,7,9/1/2022,No
Tanner Houck,BOS,6,8/1/2022,No
Tanner Rainey,WSN,5,7/1/2022,No
Tanner Scott,MIA,7,9/1/2022,No
Tanner Tully,CLE,5,7/1/2022,No
Tarik Skubal,DET,6,8/1/2022,No
Tayler Saucedo,TOR,2,4/1/2022,No
Tayler Scott,SDP,6,8/1/2022,No
Taylor Clarke,KCR,7,9/1/2022,No
Taylor Hearn,TEX,7,9/1/2022,No
Taylor Widener,ARI,7,9/1/2022,No
Thomas Hatch,TOR,5,7/1/2022,No
Tim Hill,SDP,7,9/1/2022,No
Tim Mayza,TOR,7,9/1/2022,No
Tommy Henry,ARI,7,9/1/2022,No
Tommy Hunter,NYM,7,9/1/2022,No
Tommy Kahnle,LAD,7,9/1/2022,No
Tommy Milone,SEA,5,7/1/2022,No
Tommy Nance,MIA,7,9/1/2022,No
Tony Gonsolin,LAD,7,9/1/2022,No
Tony Santillan,CIN,4,6/1/2022,No
Touki Toussaint,LAA,7,9/1/2022,No
Travis Lakins Sr.,BAL,3,5/1/2022,No
Trent Thornton,TOR,7,9/1/2022,No
Trevor Gott,MIL,7,9/1/2022,No
Trevor Kelley,MIL,7,9/1/2022,No
Trevor May,NYM,7,9/1/2022,No
Trevor Megill,MIN,7,9/1/2022,No
Trevor Richards,TOR,7,9/1/2022,No
Trevor Rogers,MIA,7,9/1/2022,No
Trevor Stephan,CLE,7,9/1/2022,No
Trevor Williams,NYM,7,9/1/2022,No
Triston McKenzie,CLE,7,9/1/2022,No
Tucker Barnhart,DET,4,6/1/2022,No
Ty Blach,COL,7,9/1/2022,No
Tyler Alexander,DET,7,9/1/2022,No
Tyler Anderson,LAD,7,9/1/2022,No
Tyler Clippard,WSN,6,8/1/2022,No
Tyler Danish,BOS,7,9/1/2022,No
Tyler Duffey,MIN,6,8/1/2022,No
Tyler Gilbert,ARI,5,7/1/2022,No
Tyler Glasnow,TBR,7,9/1/2022,No
Tyler Holton,ARI,6,8/1/2022,No
Tyler Kinley,COL,4,6/1/2022,No
Tyler Matzek,ATL,7,9/1/2022,No
Tyler Rogers,SFG,7,9/1/2022,No
Tyler Wells,BAL,7,9/1/2022,No
Tylor Megill,NYM,7,9/1/2022,No
Tyson Miller,TEX,7,9/1/2022,No
Victor Arano,WSN,7,9/1/2022,No
Victor Caratini,MIL,6,8/1/2022,No
Vince Velasquez,CHW,7,9/1/2022,No
Vinny Nittoli,PHI,7,9/1/2022,No
Vladimir Gutierrez,CIN,4,6/1/2022,No
Wade Miley,CHC,7,9/1/2022,No
Walker Buehler,LAD,4,6/1/2022,No
Wandy Peralta,NYY,7,9/1/2022,No
Whit Merrifield,TOR,6,8/1/2022,No
Wil Crowe,PIT,7,9/1/2022,No
Wil Myers,SDP,7,9/1/2022,No
Will Vest,DET,7,9/1/2022,No
William Woods,ATL,3,5/1/2022,No
Willians Astudillo,MIA,5,7/1/2022,No
Wily Peralta,DET,6,8/1/2022,No
Xzavion Curry,CLE,7,9/1/2022,No
Yadier Molina,STL,4,6/1/2022,No
Yency Almonte,LAD,7,9/1/2022,No
Yerry De Los Santos,PIT,6,8/1/2022,No
Yerry Rodriguez,TEX,7,9/1/2022,No
Yimi Garcia,TOR,7,9/1/2022,No
Yoan Lopez,NYM,6,8/1/2022,No
Yolmer Sanchez,BOS,5,7/1/2022,No
Yonny Chirinos,TBR,7,9/1/2022,No
Yu Chang,TBR,6,8/1/2022,No
Yu Darvish,SDP,7,9/1/2022,No
Yunior Marte,SFG,7,9/1/2022,No
Yusei Kikuchi,TOR,7,9/1/2022,No
Zac Gallen,ARI,7,9/1/2022,No
Zac Lowther,BAL,3,5/1/2022,No
Zach Davies,ARI,7,9/1/2022,No
Zach Eflin,PHI,7,9/1/2022,No
Zach Jackson,OAK,6,8/1/2022,No
Zach Logue,OAK,7,9/1/2022,No
Zach Plesac,CLE,7,9/1/2022,No
Zach Thompson,PIT,7,9/1/2022,No
Zack Britton,NYY,7,9/1/2022,No
Zack Greinke,KCR,7,9/1/2022,No
Zack Kelly,BOS,7,9/1/2022,No
Zack Littell,SFG,7,9/1/2022,No
Zack Thompson,STL,7,9/1/2022,No
Zack Weiss,LAA,7,9/1/2022,No
Zack Wheeler,PHI,7,9/1/2022,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
,,,,No
