#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,Year,YearDate
444,Ashton Goudeau,- - -,30.7%,70.6%,45.6%,68.5%,91.9%,82.1%,37.5%,56.0%,8.2%,13.8%,22.0%,2021.0,2021-01-01
445,Kyle Freeland,COL,30.7%,66.9%,45.2%,69.1%,89.3%,81.1%,40.2%,60.4%,8.5%,18.1%,26.6%,2021.0,2021-01-01
446,Jose Urena,DET,30.6%,69.7%,46.3%,69.8%,87.8%,80.6%,40.1%,55.5%,9.0%,14.8%,23.8%,2021.0,2021-01-01
447,Ian Kennedy,- - -,30.6%,78.3%,53.4%,59.7%,82.4%,75.6%,47.7%,67.5%,13.0%,14.7%,27.7%,2021.0,2021-01-01
448,Randy Dobnak,MIN,30.6%,69.5%,46.9%,66.2%,95.1%,84.1%,42.0%,57.5%,7.5%,15.9%,23.4%,2021.0,2021-01-01
449,Luis Garcia,STL,30.6%,70.4%,49.1%,46.3%,81.1%,69.5%,46.5%,62.2%,15.0%,17.2%,32.1%,2021.0,2021-01-01
450,Madison Bumgarner,ARI,30.6%,69.0%,48.6%,66.7%,87.0%,80.2%,47.0%,64.1%,9.6%,18.5%,28.1%,2021.0,2021-01-01
451,Daniel Ponce de Leon,STL,30.6%,71.6%,46.7%,73.6%,85.3%,80.7%,39.4%,54.4%,9.0%,13.5%,22.5%,2021.0,2021-01-01
452,Cal Quantrill,CLE,30.5%,69.9%,46.5%,71.0%,85.7%,79.9%,40.7%,65.6%,9.3%,15.7%,25.1%,2021.0,2021-01-01
453,Drew Rasmussen,- - -,30.5%,68.5%,47.0%,64.9%,83.5%,76.6%,43.3%,68.7%,11.0%,18.0%,29.0%,2021.0,2021-01-01
454,Ryan Borucki,TOR,30.5%,59.0%,42.5%,52.3%,87.0%,72.6%,42.3%,56.1%,11.7%,19.2%,30.9%,2021.0,2021-01-01
455,Mark Melancon,SDP,30.5%,66.5%,45.1%,68.1%,88.7%,80.4%,40.6%,64.2%,8.8%,18.6%,27.4%,2021.0,2021-01-01
456,Mac Sceroler,BAL,30.5%,74.3%,46.0%,53.8%,78.8%,68.1%,35.4%,52.1%,14.6%,11.6%,26.3%,2021.0,2021-01-01
457,Elieser Hernandez,MIA,30.4%,71.3%,51.1%,61.0%,86.1%,78.7%,50.6%,66.2%,10.9%,18.0%,28.9%,2021.0,2021-01-01
458,Ross Detwiler,- - -,30.4%,65.3%,44.9%,65.2%,87.6%,78.7%,41.6%,53.7%,9.6%,18.8%,28.4%,2021.0,2021-01-01
459,Matt Bush,TEX,30.4%,65.2%,42.0%,50.0%,86.7%,69.0%,33.3%,52.9%,13.0%,17.4%,30.4%,2021.0,2021-01-01
460,Tyler Gilbert,ARI,30.4%,74.1%,52.3%,73.6%,87.9%,83.8%,50.2%,61.1%,8.5%,14.5%,23.0%,2021.0,2021-01-01
461,Raynel Espinal,BOS,30.4%,92.3%,52.8%,71.4%,100.0%,89.5%,36.1%,50.0%,5.6%,2.8%,8.3%,2021.0,2021-01-01
462,Adrian Sampson,CHC,30.4%,75.3%,49.5%,70.1%,87.6%,81.4%,42.4%,54.5%,9.2%,13.0%,22.2%,2021.0,2021-01-01
463,Jimmy Nelson,LAD,30.4%,60.3%,41.5%,44.0%,81.2%,64.1%,37.1%,44.0%,14.9%,18.4%,33.3%,2021.0,2021-01-01
464,Nick Tropeano,- - -,30.4%,75.6%,45.8%,54.2%,96.8%,78.2%,34.2%,61.8%,10.0%,12.5%,22.5%,2021.0,2021-01-01
465,Adam Wainwright,STL,30.3%,60.5%,43.4%,67.5%,90.4%,81.3%,43.2%,64.3%,8.1%,21.6%,29.8%,2021.0,2021-01-01
466,Austin Warren,LAA,30.3%,66.4%,45.4%,44.4%,91.8%,73.4%,41.8%,54.8%,12.1%,17.3%,29.4%,2021.0,2021-01-01
467,Dylan Bundy,LAA,30.3%,62.3%,44.4%,61.6%,89.0%,78.6%,44.1%,57.4%,9.5%,20.4%,29.9%,2021.0,2021-01-01
468,Spencer Patton,TEX,30.3%,67.5%,45.5%,65.9%,82.1%,75.7%,41.0%,54.7%,11.1%,18.3%,29.4%,2021.0,2021-01-01
469,Tylor Megill,NYM,30.3%,73.4%,49.6%,61.8%,82.6%,75.6%,44.9%,67.5%,12.1%,14.7%,26.8%,2021.0,2021-01-01
470,Austin Davis,- - -,30.2%,64.1%,44.0%,63.5%,85.4%,76.4%,40.6%,51.3%,10.4%,16.3%,26.6%,2021.0,2021-01-01
471,Nick Pivetta,BOS,30.2%,70.5%,47.9%,63.0%,86.1%,78.0%,44.0%,63.5%,10.6%,16.5%,27.1%,2021.0,2021-01-01
472,Shohei Ohtani,LAA,30.2%,69.2%,48.0%,53.9%,83.1%,73.0%,45.5%,58.0%,12.9%,15.9%,28.8%,2021.0,2021-01-01
473,Michael Kopech,CHW,30.2%,65.9%,46.5%,56.6%,76.7%,69.6%,45.8%,62.8%,14.1%,18.9%,33.0%,2021.0,2021-01-01
474,James Norwood,SDP,30.2%,75.6%,50.0%,56.3%,90.3%,78.7%,43.6%,78.3%,10.6%,13.8%,24.5%,2021.0,2021-01-01
475,Martin Perez,BOS,30.2%,68.4%,46.0%,72.3%,87.9%,81.9%,41.4%,62.5%,8.3%,18.1%,26.5%,2021.0,2021-01-01
476,Sammy Long,SFG,30.2%,69.2%,47.8%,66.1%,88.6%,80.9%,45.2%,59.7%,9.2%,17.3%,26.5%,2021.0,2021-01-01
477,Tyler Matzek,ATL,30.2%,73.9%,48.5%,59.9%,80.5%,73.1%,41.8%,53.8%,13.1%,12.6%,25.6%,2021.0,2021-01-01
478,Kyle Muller,ATL,30.1%,67.2%,44.8%,54.5%,81.7%,70.6%,39.6%,48.4%,13.1%,15.8%,29.0%,2021.0,2021-01-01
479,JT Chargois,- - -,30.1%,69.8%,45.7%,60.0%,84.2%,74.5%,39.3%,53.7%,11.6%,15.6%,27.3%,2021.0,2021-01-01
480,Sam Howard,PIT,30.1%,68.6%,44.4%,49.4%,74.5%,63.8%,37.2%,58.3%,16.1%,16.2%,32.3%,2021.0,2021-01-01
481,Hans Crouse,PHI,30.1%,81.3%,48.9%,52.0%,89.7%,75.0%,36.6%,50.0%,12.2%,8.4%,20.6%,2021.0,2021-01-01
482,James Hoyt,LAA,30.1%,60.9%,41.8%,35.3%,85.7%,63.2%,37.9%,50.0%,15.4%,17.6%,33.0%,2021.0,2021-01-01
483,Justin Bruihl,LAD,30.1%,73.0%,50.6%,70.0%,86.5%,81.4%,47.8%,74.0%,9.4%,14.1%,23.5%,2021.0,2021-01-01
484,Tyler Mahle,CIN,30.1%,67.4%,45.1%,63.6%,82.0%,74.7%,40.3%,64.0%,11.4%,17.9%,29.3%,2021.0,2021-01-01
485,Steven Okert,MIA,30.1%,70.2%,47.1%,60.6%,78.2%,71.7%,42.4%,51.4%,13.3%,15.6%,29.0%,2021.0,2021-01-01
486,Kyle Zimmer,KCR,30.1%,64.0%,43.7%,66.1%,83.3%,76.2%,40.1%,55.2%,10.4%,16.2%,26.6%,2021.0,2021-01-01
487,Tarik Skubal,DET,30.0%,69.8%,48.5%,63.2%,83.1%,76.5%,46.4%,64.0%,11.4%,16.0%,27.4%,2021.0,2021-01-01
488,Yu Darvish,SDP,30.0%,67.7%,47.3%,56.3%,83.9%,74.4%,46.0%,60.6%,12.1%,18.2%,30.3%,2021.0,2021-01-01
489,Tanner Roark,TOR,30.0%,68.6%,45.0%,79.2%,88.6%,84.7%,38.9%,45.2%,6.9%,16.0%,22.9%,2021.0,2021-01-01
490,Kevin Plawecki,BOS,30.0%,87.5%,55.6%,100.0%,100.0%,100.0%,44.4%,66.7%,0.0%,11.1%,11.1%,2021.0,2021-01-01
491,Wander Suero,WSN,30.0%,72.1%,48.9%,68.3%,81.3%,76.9%,44.8%,58.4%,11.3%,15.0%,26.3%,2021.0,2021-01-01
492,Nestor Cortes,NYY,30.0%,72.7%,48.0%,72.3%,82.7%,79.0%,42.3%,59.9%,10.1%,16.3%,26.4%,2021.0,2021-01-01
493,Justin Steele,CHC,30.0%,65.0%,44.4%,60.0%,84.1%,74.5%,41.2%,57.7%,11.3%,17.3%,28.6%,2021.0,2021-01-01
494,Ryne Stanek,HOU,30.0%,72.5%,47.2%,57.7%,79.2%,71.1%,40.5%,55.5%,13.6%,14.0%,27.6%,2021.0,2021-01-01
495,Adrian Houser,MIL,29.9%,65.2%,43.7%,72.6%,91.5%,83.5%,38.9%,58.8%,7.2%,16.1%,23.3%,2021.0,2021-01-01
496,Thomas Hatch,TOR,29.9%,79.7%,47.6%,65.6%,91.5%,81.0%,35.5%,60.0%,9.0%,11.4%,20.5%,2021.0,2021-01-01
497,James Kaprielian,OAK,29.9%,69.5%,45.6%,65.2%,83.3%,76.2%,39.7%,59.2%,10.9%,17.5%,28.4%,2021.0,2021-01-01
498,Amir Garrett,CIN,29.8%,62.9%,43.5%,46.2%,81.4%,67.2%,41.3%,60.0%,14.3%,18.8%,33.1%,2021.0,2021-01-01
499,Eric Lauer,MIL,29.8%,70.8%,48.1%,68.5%,83.0%,78.0%,44.5%,61.3%,10.6%,15.6%,26.2%,2021.0,2021-01-01
500,Chase Anderson,PHI,29.8%,69.6%,46.1%,70.0%,83.1%,78.1%,41.0%,59.1%,10.1%,15.7%,25.8%,2021.0,2021-01-01
501,Daniel Lynch,KCR,29.8%,73.1%,47.3%,54.7%,88.4%,75.8%,40.5%,55.6%,11.5%,13.6%,25.1%,2021.0,2021-01-01
502,Matt Wisler,- - -,29.8%,60.5%,43.6%,52.7%,78.5%,68.8%,45.0%,64.6%,13.6%,21.5%,35.1%,2021.0,2021-01-01
503,Jordan Zimmermann,MIL,29.8%,77.1%,50.0%,85.7%,100.0%,95.1%,42.7%,46.2%,2.4%,11.0%,13.4%,2021.0,2021-01-01
504,Julio Teheran,DET,29.8%,67.4%,47.8%,71.4%,96.6%,88.4%,47.8%,45.0%,5.6%,16.7%,22.2%,2021.0,2021-01-01
505,R.J. Alaniz,CIN,29.8%,54.2%,38.0%,78.6%,84.6%,81.5%,33.8%,53.8%,7.0%,19.7%,26.8%,2021.0,2021-01-01
506,Deivi Garcia,NYY,29.8%,66.1%,43.8%,60.7%,82.1%,73.1%,38.6%,57.9%,11.8%,16.3%,28.1%,2021.0,2021-01-01
507,Hunter Strickland,- - -,29.7%,73.5%,49.0%,66.3%,79.8%,75.2%,44.0%,59.1%,12.1%,15.7%,27.8%,2021.0,2021-01-01
508,Bryan Abreu,HOU,29.7%,71.8%,45.3%,51.9%,83.6%,70.5%,37.0%,42.2%,13.4%,13.8%,27.1%,2021.0,2021-01-01
509,Jose Ruiz,CHW,29.7%,71.8%,48.6%,61.8%,85.3%,77.4%,44.8%,59.8%,11.0%,16.7%,27.7%,2021.0,2021-01-01
510,Bryan Shaw,CLE,29.7%,75.6%,48.1%,61.5%,85.7%,76.7%,39.9%,55.4%,11.2%,13.8%,25.0%,2021.0,2021-01-01
511,Spenser Watkins,BAL,29.7%,70.9%,45.7%,74.1%,91.3%,84.5%,39.0%,55.3%,7.1%,15.7%,22.8%,2021.0,2021-01-01
512,Jace Fry,CHW,29.7%,62.2%,40.4%,77.8%,85.7%,81.8%,33.1%,45.2%,7.4%,14.0%,21.3%,2021.0,2021-01-01
513,Dillon Tate,BAL,29.6%,64.2%,45.3%,68.6%,84.8%,79.0%,45.3%,62.0%,9.5%,18.7%,28.2%,2021.0,2021-01-01
514,Devin Smeltzer,MIN,29.6%,76.0%,51.9%,62.5%,84.2%,77.8%,48.1%,52.9%,11.5%,15.4%,26.9%,2021.0,2021-01-01
515,Miguel Castro,NYM,29.6%,60.7%,41.7%,57.7%,80.0%,70.3%,38.9%,52.8%,12.4%,17.8%,30.2%,2021.0,2021-01-01
516,Demarcus Evans,TEX,29.6%,74.0%,46.9%,60.6%,82.1%,73.9%,39.1%,54.2%,12.3%,13.0%,25.3%,2021.0,2021-01-01
517,Carlos Hernandez,KCR,29.6%,71.6%,47.0%,63.7%,85.0%,77.2%,41.5%,53.6%,10.7%,13.8%,24.5%,2021.0,2021-01-01
518,Yoan Lopez,ARI,29.5%,71.1%,45.6%,51.3%,84.7%,71.4%,38.6%,63.9%,13.0%,13.5%,26.5%,2021.0,2021-01-01
519,David Peterson,NYM,29.5%,70.8%,46.3%,60.9%,85.4%,76.1%,40.6%,58.2%,11.1%,16.3%,27.4%,2021.0,2021-01-01
520,Sonny Gray,CIN,29.5%,62.9%,42.9%,57.9%,87.5%,75.3%,40.1%,59.0%,10.6%,19.5%,30.1%,2021.0,2021-01-01
521,Rowan Wick,CHC,29.5%,59.6%,41.3%,59.7%,82.8%,72.7%,39.0%,62.0%,11.3%,19.5%,30.8%,2021.0,2021-01-01
522,Dustin May,LAD,29.5%,66.1%,46.2%,52.5%,78.4%,69.4%,45.7%,63.4%,14.1%,19.8%,34.0%,2021.0,2021-01-01
523,Luis Gil,NYY,29.5%,70.9%,46.6%,57.6%,80.1%,71.8%,41.4%,55.0%,13.2%,14.5%,27.6%,2021.0,2021-01-01
524,Mitch Keller,PIT,29.5%,66.4%,45.6%,67.3%,90.3%,81.9%,43.6%,56.0%,8.2%,16.1%,24.4%,2021.0,2021-01-01
525,Chris Bassitt,OAK,29.5%,67.2%,47.6%,65.9%,84.9%,78.8%,48.1%,61.9%,10.1%,18.0%,28.1%,2021.0,2021-01-01
526,Nick Nelson,NYY,29.5%,67.9%,44.4%,55.7%,83.1%,72.0%,38.8%,48.7%,12.4%,13.9%,26.3%,2021.0,2021-01-01
527,Buck Farmer,DET,29.5%,69.8%,44.9%,66.7%,82.0%,75.8%,38.3%,59.1%,10.9%,15.4%,26.3%,2021.0,2021-01-01
528,Will Vest,SEA,29.5%,71.3%,47.0%,74.0%,80.7%,78.2%,41.8%,64.7%,10.2%,14.8%,25.0%,2021.0,2021-01-01
529,Kyle Funkhouser,DET,29.5%,67.0%,44.2%,62.0%,84.6%,75.4%,39.2%,59.1%,10.8%,15.4%,26.2%,2021.0,2021-01-01
530,Chris Ellis,- - -,29.5%,69.1%,46.5%,66.7%,84.6%,78.1%,42.9%,55.4%,10.2%,15.6%,25.7%,2021.0,2021-01-01
531,Sam Selman,- - -,29.4%,71.7%,47.6%,81.9%,83.6%,83.0%,42.9%,55.5%,8.1%,15.4%,23.5%,2021.0,2021-01-01
532,Hansel Robles,- - -,29.4%,73.2%,48.6%,68.9%,82.6%,78.0%,43.8%,55.6%,10.7%,15.6%,26.3%,2021.0,2021-01-01
533,Wade Davis,KCR,29.4%,75.1%,48.2%,63.2%,87.4%,78.7%,41.2%,54.7%,10.3%,12.7%,23.0%,2021.0,2021-01-01
534,Sean Poppen,- - -,29.4%,54.6%,40.9%,58.5%,90.1%,77.7%,45.6%,60.9%,9.1%,23.2%,32.3%,2021.0,2021-01-01
535,Zac Gallen,ARI,29.4%,65.2%,43.9%,65.2%,88.4%,79.2%,40.4%,61.6%,9.1%,17.9%,27.0%,2021.0,2021-01-01
536,Jerad Eickhoff,NYM,29.4%,77.4%,49.0%,69.4%,91.2%,83.4%,40.9%,62.5%,8.1%,13.7%,21.8%,2021.0,2021-01-01
537,Taijuan Walker,NYM,29.4%,65.5%,45.8%,68.0%,84.7%,78.8%,45.3%,63.9%,9.7%,18.6%,28.3%,2021.0,2021-01-01
538,Alex Reyes,STL,29.4%,67.2%,43.7%,50.9%,78.9%,67.2%,37.9%,53.6%,14.3%,15.4%,29.7%,2021.0,2021-01-01
539,Reid Detmers,LAA,29.4%,68.5%,47.8%,62.7%,82.0%,75.7%,47.0%,57.4%,11.6%,15.3%,26.9%,2021.0,2021-01-01
540,Jake Petricka,LAA,29.3%,60.5%,39.3%,55.6%,88.5%,71.7%,31.9%,43.8%,11.1%,15.6%,26.7%,2021.0,2021-01-01
541,Cam Bedrosian,- - -,29.3%,69.8%,45.9%,58.0%,89.6%,77.7%,41.0%,54.3%,10.3%,14.7%,25.0%,2021.0,2021-01-01
542,Tyler Chatwood,- - -,29.3%,63.8%,40.9%,53.9%,88.2%,71.9%,33.7%,49.7%,11.5%,16.2%,27.7%,2021.0,2021-01-01
543,Jhoulys Chacin,COL,29.3%,68.7%,45.5%,66.3%,87.1%,79.3%,41.2%,54.6%,9.4%,15.6%,25.0%,2021.0,2021-01-01
544,Josh Rogers,WSN,29.2%,72.0%,47.8%,64.8%,91.0%,82.0%,43.5%,63.6%,8.6%,15.8%,24.4%,2021.0,2021-01-01
545,Matt Moore,PHI,29.2%,70.7%,47.0%,71.3%,85.8%,80.7%,43.0%,62.0%,9.1%,15.6%,24.7%,2021.0,2021-01-01
546,Jimmie Sherfy,- - -,29.2%,57.0%,41.3%,68.4%,86.0%,78.9%,43.5%,60.3%,8.7%,24.3%,33.0%,2021.0,2021-01-01
547,Rich Hill,- - -,29.2%,64.5%,45.7%,66.0%,85.1%,78.6%,46.8%,62.5%,9.8%,20.5%,30.3%,2021.0,2021-01-01
548,Tanner Scott,BAL,29.2%,66.6%,43.5%,34.9%,85.2%,64.4%,38.3%,55.4%,15.5%,15.6%,31.1%,2021.0,2021-01-01
549,Joe Biagini,CHC,29.2%,52.9%,39.0%,85.7%,77.8%,81.3%,41.5%,38.5%,7.3%,22.0%,29.3%,2021.0,2021-01-01
550,Robert Dugger,SEA,29.2%,68.0%,45.8%,64.9%,82.8%,76.3%,42.7%,65.3%,10.8%,18.4%,29.3%,2021.0,2021-01-01
551,Roansy Contreras,PIT,29.2%,68.2%,47.8%,57.1%,80.0%,72.7%,47.8%,41.7%,13.0%,15.2%,28.3%,2021.0,2021-01-01
552,Freddy Peralta,MIL,29.2%,67.0%,44.9%,51.3%,77.8%,67.8%,41.8%,61.2%,14.5%,16.8%,31.3%,2021.0,2021-01-01
553,Junior Guerra,LAA,29.1%,65.5%,43.1%,58.6%,85.7%,74.4%,38.4%,49.5%,11.0%,15.5%,26.5%,2021.0,2021-01-01
554,Genesis Cabrera,STL,29.1%,71.2%,47.2%,61.8%,84.1%,76.2%,42.8%,53.0%,11.2%,14.7%,25.9%,2021.0,2021-01-01
555,Junior Fernandez,STL,29.1%,76.8%,47.3%,67.2%,73.4%,71.0%,38.2%,60.8%,13.7%,11.0%,24.7%,2021.0,2021-01-01
556,Bailey Falter,PHI,29.1%,69.6%,48.2%,67.1%,84.0%,78.6%,47.1%,61.9%,10.3%,17.6%,27.9%,2021.0,2021-01-01
557,Gregory Soto,DET,29.1%,64.2%,44.9%,50.3%,82.0%,70.7%,45.0%,58.7%,13.2%,17.6%,30.8%,2021.0,2021-01-01
558,Kwang-hyun Kim,STL,29.1%,65.5%,43.4%,68.6%,87.4%,79.7%,39.3%,60.4%,8.8%,17.7%,26.5%,2021.0,2021-01-01
559,Trevor Cahill,PIT,29.1%,65.2%,43.9%,66.7%,88.2%,79.8%,41.1%,55.4%,8.9%,17.4%,26.3%,2021.0,2021-01-01
560,Jimmy Herget,- - -,29.1%,63.0%,43.5%,46.0%,83.8%,69.2%,42.5%,60.3%,13.4%,20.4%,33.8%,2021.0,2021-01-01
561,Keegan Akin,BAL,29.1%,71.9%,49.0%,71.2%,84.3%,80.2%,46.7%,63.0%,9.7%,16.2%,26.0%,2021.0,2021-01-01
562,Jake Diekman,OAK,29.0%,65.1%,43.8%,52.1%,80.8%,69.5%,40.8%,59.2%,13.3%,17.5%,30.9%,2021.0,2021-01-01
563,Josh James,HOU,29.0%,50.0%,40.6%,55.6%,78.9%,71.4%,55.1%,81.0%,11.6%,26.1%,37.7%,2021.0,2021-01-01
564,Kyle Nelson,CLE,29.0%,56.6%,42.0%,51.9%,85.1%,73.0%,47.2%,61.2%,11.4%,19.9%,31.3%,2021.0,2021-01-01
565,Daniel Bard,COL,29.0%,69.1%,46.4%,56.0%,81.0%,72.2%,43.3%,60.5%,12.9%,16.8%,29.7%,2021.0,2021-01-01
566,Tony Gonsolin,LAD,29.0%,68.9%,44.3%,52.0%,84.7%,71.5%,38.4%,57.3%,12.6%,15.8%,28.4%,2021.0,2021-01-01
567,Ian Anderson,ATL,29.0%,69.8%,45.4%,59.4%,82.7%,73.8%,40.2%,58.7%,11.9%,15.3%,27.2%,2021.0,2021-01-01
568,Erick Fedde,WSN,28.9%,67.2%,44.1%,67.6%,87.4%,79.6%,39.7%,62.4%,9.0%,16.1%,25.1%,2021.0,2021-01-01
569,Kevin Ginkel,ARI,28.9%,67.1%,44.8%,56.4%,88.4%,76.3%,41.5%,51.9%,10.6%,14.7%,25.4%,2021.0,2021-01-01
570,Nate Jones,- - -,28.9%,81.6%,52.1%,66.0%,78.4%,74.5%,44.0%,70.1%,13.3%,10.7%,23.9%,2021.0,2021-01-01
571,Alex Vesia,LAD,28.9%,72.5%,47.9%,55.7%,68.0%,63.8%,43.6%,50.9%,17.4%,14.6%,32.0%,2021.0,2021-01-01
572,Marcos Diplan,BAL,28.9%,66.4%,46.1%,70.0%,80.1%,76.7%,45.9%,60.2%,10.7%,15.2%,26.0%,2021.0,2021-01-01
573,Tyler Duffey,MIN,28.9%,65.4%,43.4%,63.9%,88.0%,78.3%,39.8%,61.8%,9.4%,18.3%,27.7%,2021.0,2021-01-01
574,Wil Crowe,PIT,28.9%,68.6%,44.3%,60.6%,86.9%,76.4%,38.9%,54.2%,10.5%,15.0%,25.5%,2021.0,2021-01-01
575,Kolby Allard,TEX,28.8%,71.5%,48.3%,71.7%,87.0%,82.1%,45.8%,60.5%,8.7%,17.0%,25.7%,2021.0,2021-01-01
576,Jaime Barria,LAA,28.8%,71.3%,46.2%,71.2%,90.7%,83.5%,41.0%,60.0%,7.6%,16.2%,23.9%,2021.0,2021-01-01
577,Keone Kela,SDP,28.8%,55.4%,40.9%,65.6%,86.3%,78.3%,45.3%,56.3%,8.9%,22.7%,31.5%,2021.0,2021-01-01
578,German Marquez,COL,28.8%,69.2%,46.9%,50.8%,86.2%,74.2%,44.8%,57.8%,12.1%,16.0%,28.0%,2021.0,2021-01-01
579,Carlos Martinez,STL,28.8%,67.1%,45.8%,69.3%,88.7%,81.9%,44.4%,61.7%,8.3%,17.4%,25.7%,2021.0,2021-01-01
580,Joe Kelly,LAD,28.8%,58.0%,41.9%,50.4%,85.4%,72.1%,44.8%,58.2%,11.7%,22.2%,33.8%,2021.0,2021-01-01
581,Yency Almonte,COL,28.7%,67.9%,42.8%,56.3%,88.2%,74.5%,35.9%,54.8%,10.9%,15.6%,26.5%,2021.0,2021-01-01
582,Shawn Morimando,MIA,28.7%,73.8%,47.7%,63.6%,93.5%,83.2%,42.2%,55.6%,8.0%,16.1%,24.1%,2021.0,2021-01-01
583,Casey Mize,DET,28.7%,67.5%,45.6%,67.3%,86.0%,79.3%,43.5%,62.1%,9.4%,17.4%,26.9%,2021.0,2021-01-01
584,Garrett Richards,BOS,28.7%,73.0%,48.9%,60.3%,88.9%,79.8%,45.7%,59.3%,9.9%,15.5%,25.4%,2021.0,2021-01-01
585,David Hale,PHI,28.7%,76.0%,46.6%,76.8%,84.2%,81.4%,38.0%,48.3%,8.7%,12.4%,21.0%,2021.0,2021-01-01
586,Carson Fulmer,CIN,28.7%,64.8%,41.7%,52.4%,87.6%,72.2%,36.2%,52.6%,11.6%,15.2%,26.8%,2021.0,2021-01-01
587,Jay Jackson,SFG,28.6%,70.0%,44.5%,49.3%,83.8%,70.1%,38.4%,51.1%,13.3%,17.1%,30.4%,2021.0,2021-01-01
588,Vladimir Gutierrez,CIN,28.6%,68.8%,45.7%,66.4%,86.2%,79.1%,42.5%,61.1%,9.6%,16.9%,26.4%,2021.0,2021-01-01
589,Blake Snell,SDP,28.6%,67.7%,44.2%,51.0%,83.4%,70.8%,39.8%,57.6%,12.9%,16.3%,29.2%,2021.0,2021-01-01
590,Rex Brothers,CHC,28.6%,69.2%,43.2%,50.0%,81.5%,68.2%,36.1%,48.7%,13.7%,14.0%,27.8%,2021.0,2021-01-01
591,Adam Kolarek,OAK,28.6%,60.3%,41.6%,81.3%,93.6%,88.6%,41.1%,62.7%,4.7%,21.1%,25.8%,2021.0,2021-01-01
592,Jason Adam,CHC,28.6%,69.2%,43.1%,47.5%,81.5%,67.0%,35.8%,42.0%,14.2%,12.8%,27.1%,2021.0,2021-01-01
593,Domingo Tapia,- - -,28.6%,61.8%,42.1%,64.8%,90.8%,80.4%,40.8%,49.6%,8.3%,17.3%,25.6%,2021.0,2021-01-01
594,Austin Adams,SDP,28.6%,61.3%,40.3%,47.2%,83.0%,66.8%,36.0%,51.5%,13.4%,19.1%,32.5%,2021.0,2021-01-01
595,Jordan Yamamoto,NYM,28.6%,69.1%,48.6%,75.0%,92.1%,87.0%,49.5%,75.8%,6.3%,17.1%,23.4%,2021.0,2021-01-01
596,Max Schrock,CIN,28.6%,87.5%,60.0%,100.0%,85.7%,88.9%,53.3%,66.7%,6.7%,13.3%,20.0%,2021.0,2021-01-01
597,Jose Quijada,LAA,28.6%,69.7%,44.9%,52.3%,81.9%,70.5%,39.7%,57.3%,13.2%,16.4%,29.7%,2021.0,2021-01-01
598,Daniel Castano,MIA,28.6%,72.2%,49.2%,64.0%,92.1%,83.5%,47.4%,53.3%,8.1%,14.4%,22.5%,2021.0,2021-01-01
599,Adonis Medina,PHI,28.6%,54.7%,38.7%,70.8%,82.8%,77.4%,38.7%,41.7%,8.8%,19.0%,27.7%,2021.0,2021-01-01
600,Stephen Ridings,NYY,28.6%,68.8%,45.9%,25.0%,77.3%,58.8%,43.2%,65.0%,18.9%,18.9%,37.8%,2021.0,2021-01-01
601,Andrew Wantz,LAA,28.6%,71.0%,47.6%,56.6%,80.5%,72.6%,44.9%,64.2%,13.0%,17.0%,30.0%,2021.0,2021-01-01
602,Zach Davies,CHC,28.6%,68.8%,42.7%,68.6%,87.0%,79.0%,35.2%,52.4%,9.0%,17.0%,26.0%,2021.0,2021-01-01
603,Phil Bickford,- - -,28.5%,73.2%,50.4%,49.6%,82.7%,73.1%,49.0%,61.8%,13.5%,16.6%,30.2%,2021.0,2021-01-01
604,Steven Matz,TOR,28.5%,66.9%,46.7%,65.4%,86.7%,79.8%,47.3%,59.2%,9.4%,18.4%,27.8%,2021.0,2021-01-01
605,Sean Newcomb,ATL,28.5%,72.8%,45.5%,61.0%,84.0%,75.1%,38.3%,50.7%,11.3%,13.7%,25.0%,2021.0,2021-01-01
606,Yohan Ramirez,SEA,28.5%,68.3%,45.2%,44.4%,77.6%,65.5%,42.0%,54.4%,15.6%,17.7%,33.3%,2021.0,2021-01-01
607,Ryan Brasier,BOS,28.4%,78.4%,50.8%,54.8%,85.5%,76.0%,44.7%,66.0%,12.2%,14.7%,26.9%,2021.0,2021-01-01
608,Brandon Kintzler,PHI,28.4%,70.1%,45.7%,74.1%,91.9%,85.4%,41.4%,58.9%,6.7%,18.4%,25.1%,2021.0,2021-01-01
609,Yacksel Rios,- - -,28.4%,67.2%,43.7%,57.0%,86.8%,75.0%,39.3%,50.9%,10.9%,15.7%,26.6%,2021.0,2021-01-01
610,Andrew Miller,STL,28.4%,62.3%,43.1%,61.0%,83.2%,74.9%,43.2%,59.8%,10.8%,21.1%,31.9%,2021.0,2021-01-01
611,Caleb Smith,ARI,28.4%,69.2%,45.8%,66.8%,80.8%,75.8%,42.6%,56.2%,11.1%,16.4%,27.5%,2021.0,2021-01-01
612,Braxton Garrett,MIA,28.4%,69.2%,44.2%,67.6%,85.8%,78.7%,38.7%,64.2%,9.4%,17.5%,27.0%,2021.0,2021-01-01
613,Matt Manning,DET,28.4%,67.6%,46.9%,75.1%,90.3%,85.4%,47.1%,63.9%,6.8%,17.4%,24.2%,2021.0,2021-01-01
614,Brady Singer,KCR,28.4%,62.6%,43.2%,60.5%,85.9%,76.4%,43.4%,55.8%,10.2%,20.1%,30.3%,2021.0,2021-01-01
