#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,MonthSeason,MonthYear
250,Janson Junk,LAA,33.3%,77.8%,55.6%,100.0%,85.7%,90.0%,50.0%,100.0%,5.6%,22.2%,27.8%,3.0,2022-05-01
251,JP Sears,NYY,33.3%,66.7%,48.8%,53.3%,92.3%,78.0%,46.4%,66.7%,10.7%,17.9%,28.6%,3.0,2022-05-01
252,Dane Dunning,TEX,33.1%,62.6%,43.9%,59.2%,89.7%,75.1%,36.6%,63.8%,10.9%,19.3%,30.2%,3.0,2022-05-01
253,Patrick Corbin,WSN,33.1%,70.4%,50.5%,67.0%,89.7%,81.7%,46.5%,69.6%,9.2%,15.8%,25.0%,3.0,2022-05-01
254,Justin Verlander,HOU,33.1%,79.1%,54.2%,70.5%,84.8%,80.1%,45.8%,61.5%,10.8%,13.6%,24.4%,3.0,2022-05-01
255,Merrill Kelly,ARI,33.1%,74.3%,49.9%,73.3%,93.2%,85.4%,40.8%,60.0%,7.3%,15.0%,22.3%,3.0,2022-05-01
256,Ryan Feltner,COL,33.0%,73.3%,49.5%,63.9%,81.8%,74.7%,40.8%,55.3%,12.5%,14.7%,27.2%,3.0,2022-05-01
257,Luis Castillo,CIN,33.0%,69.2%,48.2%,68.5%,85.2%,78.6%,41.9%,62.9%,10.3%,15.7%,26.0%,3.0,2022-05-01
258,Hoby Milner,MIL,32.8%,72.3%,45.5%,71.1%,87.2%,79.3%,32.2%,50.9%,9.4%,15.8%,25.2%,3.0,2022-05-01
259,Marco Gonzales,SEA,32.7%,77.3%,50.9%,83.8%,90.6%,88.0%,40.7%,59.1%,6.1%,12.8%,18.9%,3.0,2022-05-01
260,Chris Archer,MIN,32.7%,69.1%,47.7%,71.4%,84.5%,79.2%,41.0%,59.1%,9.9%,14.6%,24.5%,3.0,2022-05-01
261,Genesis Cabrera,STL,32.7%,68.1%,46.8%,76.5%,80.9%,79.0%,39.9%,64.0%,9.8%,17.3%,27.2%,3.0,2022-05-01
262,George Kirby,SEA,32.6%,73.3%,51.3%,73.3%,81.1%,78.4%,45.9%,56.5%,11.1%,15.3%,26.4%,3.0,2022-05-01
263,Josh Staumont,KCR,32.6%,71.4%,47.1%,47.6%,80.0%,66.0%,37.4%,57.8%,16.0%,14.6%,30.6%,3.0,2022-05-01
264,Freddy Peralta,MIL,32.6%,61.4%,43.9%,54.3%,84.9%,71.2%,39.4%,60.9%,12.7%,20.0%,32.7%,3.0,2022-05-01
265,Carlos Rodon,SFG,32.5%,71.7%,50.6%,63.9%,84.7%,77.5%,46.2%,58.0%,11.4%,15.2%,26.6%,3.0,2022-05-01
266,Sean Manaea,SDP,32.5%,77.8%,53.7%,55.1%,78.5%,70.9%,46.6%,65.1%,15.6%,13.1%,28.7%,3.0,2022-05-01
267,Chris Martin,CHC,32.5%,75.4%,51.4%,56.0%,82.6%,73.2%,44.2%,83.3%,13.8%,13.0%,26.8%,3.0,2022-05-01
268,Jakob Junis,SFG,32.5%,56.5%,42.7%,64.9%,92.6%,80.5%,42.4%,56.0%,8.3%,21.0%,29.3%,3.0,2022-05-01
269,Jacob Barnes,DET,32.4%,74.1%,47.2%,64.7%,88.4%,77.9%,35.6%,67.4%,10.4%,14.1%,24.5%,3.0,2022-05-01
270,Austin Gomber,COL,32.4%,73.3%,49.5%,77.2%,86.0%,82.7%,41.9%,59.6%,8.6%,13.1%,21.7%,3.0,2022-05-01
271,Ty Blach,COL,32.4%,72.0%,49.6%,75.6%,88.3%,83.6%,43.5%,64.8%,8.1%,16.7%,24.8%,3.0,2022-05-01
272,Aaron Sanchez,WSN,32.3%,65.5%,46.3%,70.3%,90.0%,82.1%,42.3%,64.1%,8.3%,16.4%,24.7%,3.0,2022-05-01
273,Anthony Bass,MIA,32.3%,66.0%,46.4%,47.6%,90.3%,73.1%,42.0%,64.7%,12.5%,20.5%,33.0%,3.0,2022-05-01
274,Drew VerHagen,STL,32.3%,66.7%,43.5%,66.7%,90.0%,78.3%,32.6%,52.8%,9.4%,14.5%,23.9%,3.0,2022-05-01
275,Edwin Uceta,ARI,32.3%,75.0%,46.8%,80.0%,83.3%,81.8%,34.0%,62.5%,8.5%,10.6%,19.1%,3.0,2022-05-01
276,Jordan Lyles,BAL,32.2%,67.2%,45.7%,68.9%,83.8%,77.3%,38.3%,63.3%,10.4%,16.6%,26.9%,3.0,2022-05-01
277,Jose Urquidy,HOU,32.2%,75.8%,53.9%,75.4%,81.9%,79.9%,49.6%,70.6%,10.8%,14.6%,25.4%,3.0,2022-05-01
278,Tanner Banks,CHW,32.2%,81.9%,53.0%,78.4%,91.2%,86.7%,41.9%,61.9%,7.1%,12.6%,19.7%,3.0,2022-05-01
279,Tanner Houck,BOS,32.1%,71.0%,46.0%,57.4%,86.4%,73.3%,35.6%,47.9%,12.3%,16.5%,28.7%,3.0,2022-05-01
280,Josh Fleming,TBR,32.1%,70.7%,44.8%,77.8%,93.1%,85.7%,32.8%,76.5%,6.4%,19.2%,25.6%,3.0,2022-05-01
281,Robert Suarez,SDP,32.1%,63.1%,45.4%,75.0%,81.1%,78.7%,42.9%,55.1%,9.7%,17.3%,27.0%,3.0,2022-05-01
282,Shohei Ohtani,LAA,32.1%,73.9%,52.9%,37.7%,78.4%,66.0%,49.7%,60.0%,18.0%,15.3%,33.3%,3.0,2022-05-01
283,Duane Underwood Jr.,PIT,32.1%,64.4%,46.9%,52.9%,87.9%,75.0%,45.9%,65.4%,11.7%,17.9%,29.6%,3.0,2022-05-01
284,Konnor Pilkington,CLE,32.0%,74.6%,48.8%,54.5%,80.0%,69.9%,39.4%,61.5%,14.7%,12.4%,27.1%,3.0,2022-05-01
285,Erasmo Ramirez,WSN,32.0%,75.2%,51.5%,53.7%,86.1%,75.0%,45.1%,58.5%,12.9%,14.2%,27.0%,3.0,2022-05-01
286,Kyle Freeland,COL,32.0%,74.4%,48.3%,63.2%,89.6%,78.8%,38.5%,63.8%,10.2%,14.9%,25.1%,3.0,2022-05-01
287,Hyun-Jin Ryu,TOR,32.0%,66.3%,46.3%,77.5%,88.1%,83.8%,41.6%,54.8%,7.5%,18.2%,25.7%,3.0,2022-05-01
288,Mike Baumann,BAL,32.0%,76.9%,54.9%,75.0%,100.0%,92.9%,51.0%,57.1%,3.9%,13.7%,17.6%,3.0,2022-05-01
289,Wil Crowe,PIT,32.0%,62.2%,43.0%,63.6%,83.6%,74.1%,36.3%,44.1%,11.1%,15.9%,27.0%,3.0,2022-05-01
290,Carlos Estevez,COL,32.0%,78.3%,49.7%,80.6%,80.9%,80.8%,38.2%,42.9%,9.6%,10.8%,20.4%,3.0,2022-05-01
291,Taylor Hearn,TEX,31.9%,70.1%,48.1%,76.3%,86.9%,82.8%,42.2%,57.8%,8.3%,16.3%,24.5%,3.0,2022-05-01
292,Cristopher Sanchez,PHI,31.9%,48.5%,38.8%,86.7%,93.8%,90.3%,41.3%,57.9%,3.8%,18.8%,22.5%,3.0,2022-05-01
293,Marcos Diplan,BAL,31.9%,65.8%,43.9%,72.7%,88.0%,80.9%,35.5%,52.2%,8.4%,14.0%,22.4%,3.0,2022-05-01
294,Tommy Nance,MIA,31.9%,60.7%,44.8%,27.3%,73.5%,55.4%,44.8%,57.1%,20.0%,21.6%,41.6%,3.0,2022-05-01
295,Aaron Nola,PHI,31.9%,60.0%,43.9%,56.4%,84.8%,73.0%,42.7%,62.6%,11.8%,21.0%,32.8%,3.0,2022-05-01
296,Chad Kuhl,COL,31.8%,65.3%,45.9%,64.7%,87.3%,78.2%,42.0%,58.8%,10.0%,16.7%,26.7%,3.0,2022-05-01
297,Hunter Strickland,CIN,31.8%,78.0%,55.3%,53.6%,83.1%,74.7%,50.8%,70.2%,14.0%,13.4%,27.4%,3.0,2022-05-01
298,Luis Gonzalez,SFG,31.8%,78.6%,43.1%,100.0%,100.0%,100.0%,24.1%,40.0%,0.0%,19.0%,19.0%,3.0,2022-05-01
299,Luis Frias,ARI,31.8%,72.5%,47.2%,57.1%,86.2%,74.0%,37.7%,48.1%,12.3%,9.4%,21.7%,3.0,2022-05-01
300,Kenny Rosenberg,LAA,31.7%,77.8%,48.5%,65.0%,92.9%,81.3%,36.4%,59.1%,9.1%,14.1%,23.2%,3.0,2022-05-01
301,Nick Pivetta,BOS,31.7%,69.6%,48.3%,68.4%,90.4%,82.3%,43.7%,60.3%,8.6%,18.2%,26.8%,3.0,2022-05-01
302,Jharel Cotton,MIN,31.7%,64.7%,46.7%,38.5%,90.9%,71.4%,45.3%,54.5%,13.3%,17.3%,30.7%,3.0,2022-05-01
303,Luis Severino,NYY,31.7%,74.4%,49.0%,54.9%,80.7%,70.8%,40.5%,55.0%,14.3%,14.3%,28.6%,3.0,2022-05-01
304,Kyle Hendricks,CHC,31.7%,65.9%,45.5%,77.4%,87.3%,83.2%,40.3%,65.8%,7.7%,18.5%,26.1%,3.0,2022-05-01
305,Trevor Williams,NYM,31.6%,75.5%,48.9%,69.1%,85.7%,79.2%,39.3%,72.0%,10.2%,14.1%,24.3%,3.0,2022-05-01
306,Ryan Pressly,HOU,31.6%,74.5%,52.7%,38.9%,82.9%,69.5%,49.1%,75.8%,16.1%,15.2%,31.3%,3.0,2022-05-01
307,Andrelton Simmons,CHC,31.6%,66.7%,40.0%,100.0%,75.0%,90.0%,24.0%,55.6%,4.0%,12.0%,16.0%,3.0,2022-05-01
308,Jose Berrios,TOR,31.6%,62.3%,45.6%,76.4%,91.6%,85.9%,45.6%,64.5%,6.4%,20.8%,27.2%,3.0,2022-05-01
309,Corey Knebel,PHI,31.6%,64.1%,44.8%,58.3%,86.0%,74.4%,40.6%,58.5%,11.5%,16.7%,28.1%,3.0,2022-05-01
310,Josh VanMeter,PIT,31.6%,70.0%,44.8%,100.0%,100.0%,100.0%,34.5%,44.4%,0.0%,17.2%,17.2%,3.0,2022-05-01
311,Joel Payamps,KCR,31.5%,65.5%,45.9%,63.8%,84.7%,76.5%,42.5%,53.8%,10.8%,18.1%,29.0%,3.0,2022-05-01
312,Chris Flexen,SEA,31.5%,72.1%,45.6%,72.5%,87.4%,80.7%,34.8%,61.2%,8.8%,14.2%,23.0%,3.0,2022-05-01
313,Amir Garrett,KCR,31.5%,60.7%,41.5%,58.8%,82.4%,70.6%,34.1%,66.7%,12.2%,14.6%,26.8%,3.0,2022-05-01
314,Max Kranick,PIT,31.5%,68.2%,42.1%,58.8%,86.7%,71.9%,28.9%,52.6%,11.8%,9.2%,21.1%,3.0,2022-05-01
315,Kenley Jansen,ATL,31.5%,62.9%,45.2%,66.7%,77.0%,73.0%,43.9%,68.5%,12.2%,20.8%,33.0%,3.0,2022-05-01
316,Ryan Helsley,STL,31.4%,69.5%,48.4%,43.8%,84.2%,69.7%,44.6%,56.8%,14.7%,14.1%,28.8%,3.0,2022-05-01
317,Logan Gillaspie,BAL,31.4%,77.3%,52.6%,81.3%,88.2%,86.0%,46.3%,51.9%,7.4%,15.8%,23.2%,3.0,2022-05-01
318,Madison Bumgarner,ARI,31.3%,71.6%,47.8%,78.1%,86.2%,83.1%,41.0%,61.9%,8.1%,18.7%,26.8%,3.0,2022-05-01
319,Eric Lauer,MIL,31.3%,71.1%,48.1%,67.9%,85.2%,78.7%,42.3%,64.3%,10.2%,15.1%,25.4%,3.0,2022-05-01
320,Archie Bradley,LAA,31.3%,53.8%,41.4%,80.0%,85.7%,83.3%,44.8%,62.5%,6.9%,24.1%,31.0%,3.0,2022-05-01
321,German Marquez,COL,31.3%,74.9%,51.2%,56.3%,89.4%,78.4%,45.6%,62.6%,11.0%,12.3%,23.4%,3.0,2022-05-01
322,Phillip Diehl,CIN,31.3%,61.5%,44.8%,70.0%,93.8%,84.6%,44.8%,53.8%,6.9%,19.0%,25.9%,3.0,2022-05-01
323,Alex Faedo,DET,31.2%,71.9%,49.1%,63.5%,89.5%,80.2%,43.8%,65.8%,9.7%,16.6%,26.3%,3.0,2022-05-01
324,Paul Blackburn,OAK,31.2%,62.7%,43.3%,66.0%,87.6%,78.0%,38.3%,63.6%,9.5%,19.0%,28.6%,3.0,2022-05-01
325,Adrian Houser,MIL,31.2%,65.9%,44.6%,82.8%,82.8%,82.8%,38.7%,62.6%,7.7%,17.1%,24.8%,3.0,2022-05-01
326,Chris Bassitt,NYM,31.2%,62.3%,44.4%,70.8%,82.8%,77.9%,42.6%,57.5%,9.8%,19.6%,29.4%,3.0,2022-05-01
327,Chase Silseth,LAA,31.2%,57.3%,41.9%,58.1%,89.1%,75.5%,41.0%,67.2%,10.3%,20.1%,30.3%,3.0,2022-05-01
328,Raisel Iglesias,LAA,31.1%,68.4%,47.3%,39.1%,87.2%,69.4%,43.5%,50.0%,14.5%,19.8%,34.4%,3.0,2022-05-01
329,Keegan Akin,BAL,31.1%,67.7%,47.0%,68.0%,84.5%,78.4%,43.5%,52.2%,10.2%,18.6%,28.8%,3.0,2022-05-01
330,Dallas Keuchel,CHW,31.0%,65.9%,42.9%,77.8%,89.9%,84.1%,34.1%,57.5%,6.8%,16.7%,23.5%,3.0,2022-05-01
331,Phil Maton,HOU,31.0%,78.4%,51.5%,66.7%,82.6%,77.1%,43.1%,53.8%,11.8%,11.8%,23.5%,3.0,2022-05-01
332,Noah Syndergaard,LAA,31.0%,70.6%,49.6%,75.8%,82.4%,80.2%,46.9%,66.0%,9.8%,18.6%,28.4%,3.0,2022-05-01
333,Tyler Beede,- - -,31.0%,68.5%,45.7%,65.4%,89.2%,79.4%,39.1%,70.3%,9.4%,18.1%,27.5%,3.0,2022-05-01
334,Andrew Vasquez,TOR,31.0%,38.1%,33.3%,46.2%,100.0%,66.7%,33.3%,46.7%,11.1%,25.4%,36.5%,3.0,2022-05-01
335,Cody Poteet,MIA,30.9%,67.6%,47.2%,55.8%,84.0%,73.7%,44.4%,64.2%,12.4%,14.0%,26.4%,3.0,2022-05-01
336,Josh Winder,MIN,30.9%,71.0%,46.5%,61.7%,87.5%,77.0%,39.0%,60.5%,10.7%,16.7%,27.4%,3.0,2022-05-01
337,Adam Wainwright,STL,30.9%,64.3%,45.0%,70.8%,95.6%,85.7%,42.2%,68.3%,6.4%,22.5%,28.9%,3.0,2022-05-01
338,Luis Garcia,SDP,30.9%,62.0%,42.3%,50.0%,81.6%,67.0%,36.7%,53.7%,14.0%,15.8%,29.8%,3.0,2022-05-01
339,Beau Brieske,DET,30.8%,75.8%,49.9%,84.6%,85.1%,84.9%,42.4%,61.2%,7.5%,14.6%,22.1%,3.0,2022-05-01
340,Joel Kuhnel,CIN,30.8%,70.5%,48.2%,54.2%,81.4%,71.6%,43.9%,54.1%,13.7%,18.7%,32.4%,3.0,2022-05-01
341,Bailey Falter,PHI,30.8%,69.6%,49.0%,79.2%,79.2%,79.2%,46.9%,58.3%,10.2%,18.4%,28.6%,3.0,2022-05-01
342,Mychal Givens,CHC,30.7%,65.9%,45.4%,71.4%,77.8%,75.3%,41.8%,53.1%,11.2%,17.3%,28.6%,3.0,2022-05-01
343,Sam Moll,OAK,30.7%,57.9%,41.6%,65.7%,81.8%,74.7%,40.0%,51.1%,10.5%,22.6%,33.2%,3.0,2022-05-01
344,J.B. Wendelken,ARI,30.7%,72.7%,50.3%,74.1%,85.7%,81.9%,46.7%,54.8%,9.1%,11.5%,20.6%,3.0,2022-05-01
345,Josiah Gray,WSN,30.7%,73.1%,47.4%,58.0%,85.2%,74.5%,39.4%,55.9%,12.1%,13.2%,25.3%,3.0,2022-05-01
346,Diego Castillo,SEA,30.7%,62.7%,44.8%,52.2%,89.2%,75.0%,44.0%,58.3%,11.2%,19.4%,30.6%,3.0,2022-05-01
347,Sonny Gray,MIN,30.6%,59.9%,42.3%,62.7%,87.6%,76.7%,39.8%,64.2%,9.8%,22.1%,31.9%,3.0,2022-05-01
348,Buck Farmer,CIN,30.6%,75.0%,48.1%,73.3%,75.0%,74.4%,39.5%,62.5%,12.3%,12.3%,24.7%,3.0,2022-05-01
349,Lucas Gilbreath,COL,30.6%,74.1%,48.3%,65.4%,83.7%,76.8%,40.6%,61.8%,11.2%,12.6%,23.8%,3.0,2022-05-01
350,A.J. Puk,OAK,30.5%,58.3%,42.5%,82.8%,90.5%,87.3%,43.1%,48.8%,5.4%,20.4%,25.7%,3.0,2022-05-01
351,Patrick Sandoval,LAA,30.5%,63.2%,44.2%,65.9%,85.2%,77.5%,41.8%,58.4%,10.0%,18.2%,28.1%,3.0,2022-05-01
352,Daulton Jefferies,OAK,30.5%,76.2%,47.9%,73.4%,86.9%,81.6%,38.2%,53.8%,8.8%,15.3%,24.1%,3.0,2022-05-01
353,Gregory Soto,DET,30.5%,78.4%,50.0%,64.1%,78.3%,73.1%,40.7%,44.2%,13.4%,10.6%,24.0%,3.0,2022-05-01
354,Ian Anderson,ATL,30.4%,74.2%,47.8%,62.5%,88.7%,78.6%,39.7%,57.9%,10.2%,15.2%,25.5%,3.0,2022-05-01
355,Josh Rogers,WSN,30.4%,70.3%,46.8%,92.9%,84.4%,87.7%,41.0%,56.4%,5.8%,14.7%,20.5%,3.0,2022-05-01
356,Dylan Lee,ATL,30.4%,74.4%,50.6%,50.0%,82.8%,72.1%,45.9%,64.0%,14.1%,14.1%,28.2%,3.0,2022-05-01
357,Ashton Goudeau,COL,30.4%,73.5%,46.8%,63.4%,83.6%,75.5%,38.1%,59.6%,11.5%,13.3%,24.8%,3.0,2022-05-01
358,Michael Kopech,CHW,30.3%,64.8%,45.7%,63.3%,84.5%,76.7%,44.5%,63.6%,10.6%,18.5%,29.1%,3.0,2022-05-01
359,Michael Rucker,CHC,30.3%,80.0%,49.1%,80.0%,87.5%,84.6%,37.7%,60.7%,7.5%,13.2%,20.8%,3.0,2022-05-01
360,Garrett Whitlock,BOS,30.2%,70.6%,48.6%,53.8%,89.0%,77.1%,45.6%,63.9%,11.1%,15.7%,26.8%,3.0,2022-05-01
361,Drew Carlton,DET,30.2%,84.8%,55.6%,81.3%,84.6%,83.6%,46.5%,61.5%,9.1%,13.1%,22.2%,3.0,2022-05-01
362,Trevor Rogers,MIA,30.2%,69.0%,45.2%,74.7%,81.7%,78.8%,38.8%,58.9%,9.6%,16.2%,25.8%,3.0,2022-05-01
363,Craig Kimbrel,LAD,30.2%,65.5%,44.6%,44.7%,86.0%,69.5%,40.8%,66.0%,13.6%,17.4%,31.0%,3.0,2022-05-01
364,Anthony Bender,MIA,30.2%,47.6%,37.1%,78.9%,70.0%,74.4%,40.0%,46.2%,9.5%,21.9%,31.4%,3.0,2022-05-01
365,Logan Gilbert,SEA,30.1%,75.6%,51.1%,69.1%,81.7%,77.7%,46.1%,67.5%,11.4%,14.9%,26.3%,3.0,2022-05-01
366,Mark Melancon,ARI,30.1%,71.2%,48.2%,67.9%,90.4%,82.5%,44.0%,67.4%,8.4%,17.5%,25.9%,3.0,2022-05-01
367,Jose Alvarado,PHI,30.1%,53.3%,37.2%,48.4%,87.5%,65.5%,30.4%,47.2%,12.8%,16.2%,29.1%,3.0,2022-05-01
368,Lucas Giolito,CHW,30.1%,68.0%,44.0%,51.1%,85.1%,70.4%,36.8%,58.8%,13.0%,18.4%,31.4%,3.0,2022-05-01
369,Travis Lakins Sr.,BAL,30.0%,67.5%,45.0%,77.8%,92.6%,86.7%,40.0%,45.5%,6.0%,15.0%,21.0%,3.0,2022-05-01
370,Austin Voth,WSN,29.9%,74.4%,48.6%,68.8%,81.0%,76.7%,42.2%,60.4%,11.4%,14.6%,25.9%,3.0,2022-05-01
371,Steven Matz,STL,29.9%,71.3%,49.4%,67.3%,85.5%,79.7%,47.1%,65.1%,10.1%,17.2%,27.3%,3.0,2022-05-01
372,Kyle Barraclough,LAA,29.9%,74.2%,49.6%,43.5%,71.7%,62.3%,44.6%,59.5%,18.7%,12.2%,30.9%,3.0,2022-05-01
373,Joe Ryan,MIN,29.8%,73.5%,49.9%,77.2%,84.0%,81.8%,45.9%,64.4%,9.1%,16.1%,25.2%,3.0,2022-05-01
374,Justin Grimm,OAK,29.8%,72.9%,45.4%,64.9%,86.3%,77.3%,36.1%,57.1%,10.3%,13.9%,24.2%,3.0,2022-05-01
375,Nick Wittgren,STL,29.8%,73.2%,48.0%,82.4%,85.0%,84.0%,41.8%,61.4%,7.7%,14.8%,22.4%,3.0,2022-05-01
376,Matt Swarmer,CHC,29.8%,68.6%,44.6%,52.9%,87.5%,73.2%,38.0%,58.3%,12.0%,18.5%,30.4%,3.0,2022-05-01
377,Kyle Bradish,BAL,29.8%,65.1%,44.8%,55.9%,84.5%,73.6%,42.6%,52.0%,11.8%,15.6%,27.5%,3.0,2022-05-01
378,Yennier Cano,MIN,29.8%,54.4%,39.1%,57.1%,96.8%,78.0%,37.7%,51.3%,8.6%,21.9%,30.5%,3.0,2022-05-01
379,Spenser Watkins,BAL,29.8%,62.5%,44.9%,66.7%,90.0%,81.7%,46.1%,56.3%,8.2%,17.7%,25.9%,3.0,2022-05-01
380,Drew Steckenrider,SEA,29.8%,78.2%,48.9%,76.0%,88.4%,83.8%,39.6%,39.4%,7.9%,11.5%,19.4%,3.0,2022-05-01
381,Andres Machado,WSN,29.7%,71.4%,47.7%,81.8%,80.0%,80.6%,43.1%,40.0%,9.2%,10.8%,20.0%,3.0,2022-05-01
382,Michael Grove,LAD,29.7%,66.7%,47.1%,81.8%,77.3%,78.8%,47.1%,63.2%,10.0%,14.3%,24.3%,3.0,2022-05-01
383,Humberto Castellanos,ARI,29.7%,68.6%,46.9%,76.5%,83.9%,81.3%,44.1%,59.1%,8.8%,17.4%,26.2%,3.0,2022-05-01
384,MacKenzie Gore,SDP,29.7%,70.5%,46.1%,60.3%,85.5%,75.8%,40.3%,66.3%,11.2%,18.2%,29.4%,3.0,2022-05-01
385,Griffin Jax,MIN,29.7%,61.8%,43.5%,48.8%,79.4%,67.6%,43.1%,67.7%,14.1%,20.4%,34.5%,3.0,2022-05-01
386,Hunter Greene,CIN,29.7%,73.0%,45.9%,58.1%,84.3%,73.7%,37.5%,58.5%,12.1%,15.3%,27.4%,3.0,2022-05-01
387,Will Vest,DET,29.6%,69.8%,48.5%,47.6%,84.1%,72.3%,47.0%,65.5%,13.4%,16.4%,29.9%,3.0,2022-05-01
388,Seranthony Dominguez,PHI,29.6%,77.5%,47.8%,50.0%,78.2%,67.4%,38.2%,50.0%,15.6%,11.3%,26.9%,3.0,2022-05-01
389,Jon Gray,TEX,29.5%,71.3%,47.2%,60.0%,84.7%,75.8%,42.3%,67.6%,11.4%,16.5%,28.0%,3.0,2022-05-01
390,Carlos Hernandez,KCR,29.5%,70.2%,45.3%,68.2%,80.3%,75.5%,38.7%,56.9%,11.1%,13.6%,24.7%,3.0,2022-05-01
391,Ranger Suarez,PHI,29.5%,68.9%,44.8%,68.0%,90.8%,81.6%,38.9%,57.1%,8.2%,16.5%,24.7%,3.0,2022-05-01
392,Lou Trivino,OAK,29.5%,72.0%,48.2%,46.4%,81.5%,69.5%,44.1%,46.3%,14.7%,15.3%,30.0%,3.0,2022-05-01
393,Dillon Peters,PIT,29.5%,57.0%,39.1%,79.1%,91.1%,85.2%,35.1%,49.1%,5.8%,17.3%,23.1%,3.0,2022-05-01
394,Jose Suarez,LAA,29.4%,66.7%,39.1%,60.0%,50.0%,55.6%,26.1%,60.0%,17.4%,17.4%,34.8%,3.0,2022-05-01
395,Trevor Stephan,CLE,29.4%,64.8%,43.9%,60.0%,84.8%,75.0%,41.0%,55.0%,10.9%,16.7%,27.6%,3.0,2022-05-01
396,Art Warren,CIN,29.4%,62.0%,43.1%,65.6%,83.7%,76.5%,42.0%,60.0%,10.1%,20.2%,30.3%,3.0,2022-05-01
397,Phil Bickford,LAD,29.3%,82.4%,54.8%,70.4%,81.4%,78.4%,48.0%,48.9%,11.9%,12.4%,24.3%,3.0,2022-05-01
398,Jason Foley,DET,29.3%,73.7%,51.3%,64.7%,92.9%,84.7%,49.6%,65.7%,7.8%,19.1%,27.0%,3.0,2022-05-01
399,John King,TEX,29.2%,68.1%,44.9%,64.5%,89.8%,80.0%,40.4%,56.9%,9.0%,18.5%,27.5%,3.0,2022-05-01
400,Anthony Gose,CLE,29.2%,74.4%,47.2%,57.9%,81.3%,72.5%,39.8%,68.0%,13.0%,13.9%,26.9%,3.0,2022-05-01
401,Ryan Borucki,TOR,29.2%,61.4%,42.2%,42.1%,88.9%,69.6%,40.4%,40.7%,12.8%,19.3%,32.1%,3.0,2022-05-01
402,James Kaprielian,OAK,29.2%,75.5%,50.2%,68.5%,84.1%,79.1%,45.4%,60.2%,10.5%,15.1%,25.5%,3.0,2022-05-01
403,Wade Miley,CHC,29.2%,62.4%,41.5%,66.7%,86.8%,77.9%,37.1%,60.0%,9.2%,19.2%,28.4%,3.0,2022-05-01
404,Bailey Ober,MIN,29.1%,70.0%,46.8%,65.2%,76.2%,72.3%,43.2%,60.6%,12.9%,15.1%,28.1%,3.0,2022-05-01
405,Zach Davies,ARI,29.1%,74.1%,45.0%,76.2%,85.0%,81.3%,35.3%,57.4%,8.4%,17.5%,25.9%,3.0,2022-05-01
406,Dusten Knight,TBR,29.0%,65.5%,46.7%,77.8%,84.2%,82.1%,48.3%,35.7%,8.3%,15.0%,23.3%,3.0,2022-05-01
407,Rafael Montero,HOU,29.0%,77.3%,48.2%,72.4%,88.2%,82.5%,39.8%,58.5%,8.4%,13.3%,21.7%,3.0,2022-05-01
408,Adam Ottavino,NYM,28.9%,57.6%,39.4%,45.5%,86.8%,67.6%,36.7%,59.1%,12.8%,20.0%,32.8%,3.0,2022-05-01
409,Tyler Mahle,CIN,28.9%,62.8%,41.7%,60.0%,84.8%,74.1%,37.7%,59.0%,10.8%,17.6%,28.4%,3.0,2022-05-01
410,Steve Cishek,WSN,28.8%,52.2%,38.9%,55.9%,89.4%,75.3%,43.3%,70.4%,9.6%,25.5%,35.1%,3.0,2022-05-01
411,Rony Garcia,DET,28.7%,75.0%,46.9%,62.7%,90.8%,80.4%,39.5%,56.1%,9.2%,14.3%,23.5%,3.0,2022-05-01
412,Jordan Romano,TOR,28.6%,70.5%,47.2%,50.0%,85.5%,73.5%,44.3%,69.0%,12.5%,17.0%,29.5%,3.0,2022-05-01
413,Drew Smith,NYM,28.6%,71.3%,45.7%,64.7%,75.4%,71.4%,40.2%,57.4%,13.1%,17.6%,30.7%,3.0,2022-05-01
414,Logan Allen,BAL,28.6%,63.6%,38.5%,100.0%,85.7%,93.3%,28.2%,40.0%,2.6%,15.4%,17.9%,3.0,2022-05-01
415,Kirby Snead,OAK,28.6%,62.5%,42.4%,80.0%,93.3%,88.0%,40.7%,48.5%,5.1%,16.1%,21.2%,3.0,2022-05-01
416,Jose Quijada,LAA,28.6%,85.7%,57.1%,100.0%,66.7%,75.0%,50.0%,60.0%,14.3%,14.3%,28.6%,3.0,2022-05-01
417,Shane Bieber,CLE,28.6%,66.9%,45.0%,48.4%,87.2%,73.1%,42.9%,63.6%,12.1%,17.9%,30.0%,3.0,2022-05-01
418,Cole Sands,MIN,28.6%,79.7%,50.7%,45.8%,92.2%,77.3%,43.2%,54.1%,11.5%,12.8%,24.3%,3.0,2022-05-01
419,Ryan Yarbrough,TBR,28.5%,70.8%,46.8%,73.9%,82.4%,79.5%,43.3%,60.2%,9.6%,16.2%,25.8%,3.0,2022-05-01
420,Yusei Kikuchi,TOR,28.5%,66.8%,46.5%,60.0%,80.7%,74.0%,47.0%,56.5%,12.1%,17.0%,29.1%,3.0,2022-05-01
421,Joe Kelly,CHW,28.4%,45.7%,35.0%,66.7%,90.5%,78.6%,38.3%,46.7%,7.5%,22.5%,30.0%,3.0,2022-05-01
422,Caleb Smith,ARI,28.4%,75.2%,47.9%,57.5%,82.9%,74.1%,41.7%,58.5%,12.4%,16.1%,28.5%,3.0,2022-05-01
